id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# INDUSTRY,,,,,,,,,,,,,
bulk_transport,Transport en Masse,1500,1,0,,"On ne peut pas plus échapper à l'économie qu'à la gravité. Elle nous entoure, nous contient, nous élève. Elle a lié la galaxie une fois, et le fera à nouveau.","Artemisia Sun, Rapport Annuel c203",,,,,graphics/icons/skills/bulk_transport.png,
salvaging,Récupération,1510,1,0,,"Ça me donne l'impression d'être tout petit, comme si on était de la vermine pillant les cités d'anges déchus.
Ça me rend aussi riche.","Zion Hurst, compagnon de la Guilde de Récupération Asher",,,,,graphics/icons/skills/salvaging.png,
field_repairs,Réparations de Terrain,1520,1,0,,Il n'y a personne dans un rayon de vingt années-lumière qui n'ait des tibias croisés gravés sur la coque. Nous n'avons que notre savoir-faire et ce que nous trouverons dans ce champ de débris pour nous sortir de là.,"Callisto Ibrahim, journal d'expédition c202.10.15",,,,,graphics/icons/skills/field_repairs.png,
ordnance_expert,Expertise en Armement,1530,3,1,,Les faibles craignent la puissance spirituelle de la machine à tuer. Les forts reconnaissent instinctivement sa beauté.,Citations du Suprême Exécuteur,TRUE,,,,graphics/icons/skills/ordnance_expert2.png,
polarized_armor,Blindage Polarisé,1540,3,1,,"Les manuels d'avant l'Effondrement disent de ne jamais faire ça. ... Non, je ne sais pas. Pas eu de problème jusqu'ici.","chef mécanicienne Kasi Thea-Radiative, entretien en holocam cachée",TRUE,,,,graphics/icons/skills/polarized_armor.png,
containment_procedures,Procédures de Confinement,1550,4,2,,"Vérifie chaque joint trois fois pour de vrai, que la Mort ne vienne pas te chercher.",Tradition spacer,,,,,graphics/icons/skills/containment_procedures.png,
makeshift_equipment,Équipement de Fortune,1560,4,2,,Je suppose qu'on a laissé les pièces de rechange en orbite. Ça ira ... [grésillements] ... regardez.,"transcription de sauvegarde audio, Jericho Wheeler, chef d'expédition ""H""-team",,,,,graphics/icons/skills/makeshift_equipment.png,
industrial_planning,Planification Industrielle,1570,4,2,,"Un monde stérile mais prometteur, bien situé pour devenir le centre culturel et industriel de Magec. Les modèles SIE prévoient un investissement massif dans l'exploitation des ressources du Disque de Guayotas.","Mémo de développement stratégique Tri-Tachyon, pré-Effondrement",,,TRUE,,graphics/icons/skills/industrial_planning.png,
derelict_contingent,Opérations d'Épaves,1590,5,4,2,"Ils pensent qu'on est des déchets, les cadres et les amiraux dans leurs vaisseaux rutilants. Ils nous ont jetés dès que ça a tourné au vinaigre. Mais c'est sur nous que le Secteur a été bâti et c'est nous qui les abattrons.","agitateur pirate anonyme, flux de surveillance HEGINT ",,TRUE,,player_only,graphics/icons/skills/derelict_contingent.png,
hull_restoration,Restauration de Coques,1580,5,4,2,Il n'y a pas de coque qu'un vrai spacer ne puisse appeler chez soi.,"Sol Secondshift, récupérateur vétéran",,,,,graphics/icons/skills/recovery_ops.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Misc non-player,,,,,,,,,,,,,
omega_ecm,GE Oméga,10000,0,,,,,,,,npc_only,graphics/icons/skills/EW.png,
hypercognition,Hypercognition,10001,0,,,"Une machine sans limites à laquelle chaque donnée, chaque pensée humaine est fournie pour combiner et recombiner en variantes innombrables. Demandez, et une réponse appropriée est produite.
Pourtant, je ne suis pas convaincu qu'être trompé prouve une proposition aussi grandiose.","« La Longue Route vers Gilead » par Anonyme",,,TRUE,"npc_only, ai_core_only, codex_unlockable",graphics/icons/skills/hypercognition.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"# removed in 0.95.1a, but kept around for save compatibility",,,,,,,,,,,,,
space_operations,Opérations Spatiales,590,5,4,2,Les mêmes étoiles sont visibles dans le ciel de chaque monde.,Charte fondatrice de la Ligue Perséenne,,,,"npc_only, deprecated",graphics/icons/skills/space_ops.png,
planetary_operations,Opérations Terrestres,600,5,4,2,"La boue ? Ça ne me dérange pas. Les spacers se plaignent toujours de la boue.
C'est le sang que je ne supporte pas.","Griffin Sweet, fusilier marin mercenaire",,,,"npc_only, deprecated",graphics/icons/skills/planetary_ops.png,
colony_management,Gestion de Colonie,1590,5,4,2,"Là où il y a la vie, c'est le trône de Dieu, et tout ce qui est bon peut s'y trouver.",Textes Sacrés de Ludd,,,,"npc_only, deprecated",graphics/icons/skills/colony_management.png,
strike_commander,Commandant de Frappe,20,1,0,,Vous volerez et ce sera une tempête comme ils n'en ont jamais connu. Vous êtes la foudre venue fendre le ciel lui-même !,"Navarque Mars Kato, discours aux équipages de bombardiers du Sirocco
",TRUE,,,"carrier, spec, npc_only, deprecated",graphics/icons/skills/strike_commander.png,
ranged_specialization,Spécialisation à Distance,60,3,0,,"Vous voyez cette solution de tir ? Elle va faire surréagir les algorithmes défensifs au pire moment. Le piège, c'est qu'ils doivent la voir venir.","Maître Cameron Fourth-Phobos, instructeur affecté au champ de tir Coatl",TRUE,,,"spec, npc_only, deprecated",graphics/icons/skills/ranged_specialization.png,
shield_modulation,Modulation de Bouclier,70,4,0,,Rares sont ceux qui ont un talent pour ce que j'aime appeler l'« accord actif ». Je trouve que les musiciens font les meilleurs officiers de bouclier.,"Ardis Soloman, données divulguées soumises à l'algorithme de rédaction du COMSEC",TRUE,,,"npc_only, deprecated",graphics/icons/skills/defensive_systems.png,
phase_mastery,Maîtrise de Phase,80,4,0,,"Je ne remonte pas sur ce vaisseau, jamais de la vie.","Journal de cour martiale, [EXPURGÉ], daté ~c196 ?",TRUE,,,"phase, spec, elite_player_only, npc_only, deprecated",graphics/icons/skills/phase_mastery.png,
reliability_engineering,Fiabilité Mécanique,1530,2,0,,"À la fin, par le temps et les rads, mon corps mourra. Mes camarades me rendront aux étoiles qui m'ont créé, et mon vaisseau continuera.",Tradition spacer,TRUE,,,"npc_only, deprecated",graphics/icons/skills/reliability_engineering.png,
weapon_drills,Exercices de Tir,500,1,0,,"Qu'est-c'qui a stoppé l'complot Tri-Tach ? (Les canons !)
Qu'est-c'que l'vieux Ludd a oublié ? (Les canons !)
Qu'est-c'qu'on a qu'ils ont pas ? (Des gros, gros canons !)",chanson à boire de la Marine de l'Hégémonie,,,,"npc_only, deprecated",graphics/icons/skills/weapon_drills.png,
auxiliary_support,Soutien Auxiliaire,510,1,0,,Pas de réserves ? Regardez autour de vous ! Il y a un millier de vaisseaux spatiaux dans les docks civils et un milliard de citoyens dans les arcologies. Nous n'avons qu'à ouvrir les stocks et leur donner des armes avant que l'invasion n'arrive.,Baikal Daud lors de la Défense de Chicomoztoc,,,,"npc_only, deprecated",graphics/icons/skills/auxiliary_support.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#combat_endurance,Endurance au Combat,0,1,,,"Through experience and planning, a seasoned officer has the ability to extend the effective warfighting time of ship and crew during the extreme conditions of combat deployment.",Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/combat_endurance2.png,
,,,,,,,,,,,,,
#ordnance_expert,Expertise en Armement,10,2,,,A detailed knowledge of the operational characteristics and maintenance protocols of armaments can be applied to achieve increased combat performance.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/ordnance_expert.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,"
"
#defensive_systems,Systèmes Défensifs,37.5,4,,,Extensive knowledge of the interactions between the ship's power grid and its defensive systems can produce qualitative improvements in operational characteristics.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/defensive_systems.png,
#advanced_countermeasures,Contre-Mesures Avancées,39,4,,,Attention to detail and regular maintenance can allow the various defensive systems of a hull to excel in their role.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/advanced_countermeasures.png,
#evasive_action,Action Évasive,40,5,,,"Even if incoming fire cannot be completely avoided, the pilot often has a choice in just where the damage is taken, which can result in reduced damage impact.",Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/evasive_maneuvering.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#command_and_control,Commandement et Contrôle,90,1,,,Hard-won experience - as well as poring over tactical manuals and battle reports - allow the commander to formulate and carry out more advanced battle plans.,Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/advanced_tactics.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#fighter_doctrine,Doctrine de Chasseurs,130,3,,,"Carriers and fighter wings have a very different set of requirements from regular ships, and an experienced fleet commander can make a critical difference by providing proper support.",Lorem Ipsum,,,,"carrier, npc_only, deprecated",graphics/icons/skills/fighter_doctrine.png,
#carrier_command,Commandement d'Astroporteurs,135,3,,,"Fighter wings and their crews have very specialized requirements, and an experienced captain can make a critical difference by providing proper support.",Lorem Ipsum,TRUE,,,"carrier, npc_only, deprecated",graphics/icons/skills/carrier_command.png,
#wing_commander,Commandant d'Escadrille,140,4,,,"Rigorous training drills, select personnel, and camaraderie forged through hardship can turn a rag-tag bunch of fighter pilots into an efficient, elite-level force.",Lorem Ipsum,TRUE,,,"carrier, npc_only, deprecated",graphics/icons/skills/wing_commander.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#flux_modulation,Modulation du Réseau Électrique,155,1,,,Preventive maintenance and some inspired on-the-fly adjustments can greatly increase the capacity of the ship's power grid.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/power_grid_manipulation.png,
,,,,,,,,,,,,,
#ship_design,Conception de Configuration,170,2,,,"The baseline specifications for ship loadouts are notoriously conservative, and an experienced engineer can push them well above their stated limits.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/loadout_design.png,
,,,,,,,,,,,,,
#fleet_logistics,Logistique de Flotte,1560,4,,,"Making sure supplies and other materiel get where they need to be is not a glorious task. It is, however, critical - both in dealing with emergencies and ensuring smooth day-to-day operations.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/fleet_logistics.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#recovery_operations,Opérations de Récupération,260,1,,,"Extracting working equipment or even useful replacement parts out of wreckage requires broad technical knowledge, prudence, and a willingness to take calculated risks.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/recovery_ops.png,
#safety_procedures,Procédures de Sécurité,1540,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/safety_procedures.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
aptitude_combat,,0,,,,,,,,,,graphics/icons/skills/category_combat.png,
aptitude_leadership,,0,,,,,,,,,,graphics/icons/skills/category_leadership.png,
aptitude_technology,,0,,,,,,,,,,graphics/icons/skills/category_technology.png,
aptitude_industry,,0,,,,,,,,,,graphics/icons/skills/category_industry.png,
