event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
food_shortage,relief_sent,,,news,Pénurie alimentaire $onOrAt $market : convoi de secours envoyé depuis $reliefMarket,Un convoi de ravitaillement est en route depuis $reliefMarket dans le système $reliefSystem et devrait arriver dans $marketSystem $eta.,"Le convoi transporte suffisamment de vivres pour mettre fin à la pénurie.

S'il n'arrive pas comme prévu, la situation $onOrAt $market se dégradera davantage.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_unavailable,,,news,Pénurie alimentaire $onOrAt $market : la situation empire,"Bien qu'on ait un temps espéré qu'un monde voisin pourrait envoyer des secours, il apparaît qu'aucune aide n'est à venir.",L'agitation a augmenté de $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_aborted,,,news,Pénurie alimentaire $onOrAt $market : le convoi de secours a rebroussé chemin,"Le convoi de ravitaillement en provenance de $reliefMarket a été attaqué en route vers $market, a subi de lourdes pertes et a été contraint de faire demi-tour. La pénurie alimentaire continue de sévir sans relâche.",L'agitation a augmenté de $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_relief_arrived,,,news,Pénurie alimentaire $onOrAt $market : le convoi de secours est arrivé,"Le convoi de ravitaillement en provenance de $reliefMarket est arrivé à destination, et la pénurie alimentaire $onOrAt $market est terminée.","L'agitation a augmenté de $stabilityPenaltyEnd.

Les prix alimentaires $onOrAt $market sont revenus à la normale.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_lost,,,news,Pénurie alimentaire $onOrAt $market : le convoi de secours est porté disparu,"Le convoi de ravitaillement en provenance de $reliefMarket n'est jamais arrivé à destination, et la pénurie alimentaire continue de sévir sans relâche.",L'agitation a augmenté de $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_expired,,,news,Pénurie alimentaire $onOrAt $market : situation résolue,"Le rapport indique que la pénurie alimentaire $onOrAt $market est désormais terminée. Plusieurs facteurs ont contribué à y mettre fin : un rationnement strict, des mesures de répression des émeutes, ainsi que l'arrivée de plusieurs marchands indépendants.","L'agitation a augmenté de $stabilityPenaltyExpire.
Les prix alimentaires $onOrAt $market sont revenus à la normale.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player,,,news,Pénurie alimentaire $onOrAt $market : situation résolue,"Le rapport indique que la pénurie alimentaire $onOrAt $market est désormais terminée. L'arrivée d'un convoi de secours commandé par $playerName est créditée pour avoir mis fin à la pénurie, bien qu'un administrateur local se soit empressé de souligner sa propre contribution.","L'agitation a augmenté de $stabilityPenaltyEnd.
Les prix alimentaires $onOrAt $market sont revenus à la normale.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player_black,,,news,Pénurie alimentaire $onOrAt $market : situation résolue,"Le rapport indique que la pénurie alimentaire $onOrAt $market est désormais terminée. Malheureusement, une grande partie de la distribution des vivres a été prise en main par des éléments criminels, qui ont ainsi renforcé leur emprise et affaibli les autorités locales, tant sur le plan financier que dans l'opinion de la population.","L'agitation a augmenté de $stabilityPenaltyEndBlack.

Les prix alimentaires $onOrAt $market sont revenus à la normale.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,end_player_fast,,,news,Pénurie alimentaire $onOrAt $market : situation résolue,Le rapport indique que la pénurie alimentaire $onOrAt $market est désormais terminée. L'arrivée rapide d'un convoi de secours commandé par $playerName est créditée pour avoir mis fin à la pénurie rapidement et en limité les conséquences à long terme.,"Aucune augmentation de l'agitation $onOrAt $market.

Les prix alimentaires $onOrAt $market sont revenus à la normale.",,graphics/icons/markets/food_shortage.png,prices,,
,,,,,,,,,,,,
,,,,,,,,,,,,
# player smuggling investigation,,,,,,,,,,,,
investigation_smuggling,start_smuggling,,,secure_comm,Enquête pour contrebande $onOrAt $market,Un message chiffré de l'un de vos contacts dans la pègre de $market vous avertit que les autorités de $theMarketFaction ont ouvert une enquête sur les récentes activités de contrebande.,"Si l'enquête établit votre implication dans la contrebande, $theMarketFaction adoptera une attitude hostile à votre égard.

$InvestigatorPost $investigatorName est chargé de mener l'enquête. Vous pourriez peut-être en influencer l'issue en prenant contact avec $invHimOrHer.

L'enquête durera $duration.",,,important,,
investigation_smuggling,clear_smuggling,,,player_intel_always,Enquête pour contrebande $onOrAt $market - classée,"L'enquête pour contrebande de $marketFaction est terminée, et votre nom a été blanchi — ou du moins, aucune preuve concluante n'a pu établir votre implication.",Les relations avec $theMarketFaction sont sans effet.,,,important,,
investigation_smuggling,clear_smuggling_bribe,,,player_intel_always,Enquête pour contrebande $onOrAt $market - classée,"L'enquête pour contrebande de $marketFaction s'est conclue conformément à votre « arrangement spécial » avec $investigatorName, et cette tache sur votre réputation a été effacée.","Le pot-de-vin versé à $InvestigatorPost $investigatorName a porté ses fruits.

Les relations avec $theMarketFaction sont sans effet.",,,important,,
investigation_smuggling,player_guilty_smuggling,,,player_intel_always,Enquête pour contrebande $onOrAt $market - condamné,L'enquête de $marketFaction a conclu à votre implication dans les activités de contrebande récentes.,,,,important,,
# faction good reputation investigation,,,,,,,,,,,,
investigation_goodrep,start_goodrep,,,secure_comm,Enquête de $MarketFaction sur vos liens avec $OtherFaction,Un message chiffré de l'un de vos contacts $onOrAt $market vous avertit que les autorités de $theMarketFaction ont ouvert une enquête sur vos liens avec $theOtherFactionLong.,"$TheMarketFaction pourrait devenir hostile à votre égard en raison de cette enquête.

$InvestigatorPost $investigatorName $onOrAt $market est chargé de mener les investigations. Il vous est peut-être possible d'influer sur l'issue en contactant $invHimOrHer.

L'enquête durera $duration.",,,important,,
investigation_goodrep,clear_goodrep,,,player_intel_always,Enquête de $MarketFaction sur vos liens avec $OtherFaction - classée,"L'enquête de $marketFaction sur vos liens avec $theOtherFactionLong est terminée, et vous avez été mis hors de cause — aucun acte contraire aux intérêts de $marketFaction ne vous est reproché.",Les relations avec $theMarketFaction sont sans effet.,,,important,,
investigation_goodrep,clear_goodrep_bribe,,,player_intel_always,Enquête de $MarketFaction sur vos liens avec $OtherFaction - classée,"L'enquête de $marketFaction sur vos liens avec $theOtherFactionLong s'est conclue conformément à votre « arrangement spécial » avec $investigatorName, et vous avez été mis hors de cause — aucun acte contraire aux intérêts de $marketFaction ne vous est reproché.","Le pot-de-vin versé à $InvestigatorPost $investigatorName a porté ses fruits.

Les relations avec $theMarketFaction sont sans effet.",,,important,,
investigation_goodrep,player_guilty_goodrep,,,player_intel_always,Enquête de $MarketFaction sur vos liens avec $OtherFaction - condamné,L'enquête de $marketFaction sur vos liens avec $theOtherFactionLong a établi que vous avez agi contre les intérêts de $theMarketFaction. Il est désormais évident que vous serez traité avec une méfiance particulière par $theMarketFaction.,,,,important,,
,,,,,,,,,,,,
# comm sniffer investigation,,,,,,,,,,,,
investigation_comm_sniffer,start_comm_sniffer,,,player_intel_always,Contact perdu avec l'intercepteur de communications sur $name,L'intercepteur de communications installé sur $name a cessé d'émettre des rapports. Il a probablement été neutralisé par un logiciel de sécurité. Un audit manuel des journaux de sécurité pourrait déclencher une enquête sur l'origine de l'intercepteur.,L'intercepteur de communications sur $name n'est plus opérationnel.,,,,,
investigation_comm_sniffer,player_guilty_comm_sniffer,,,player_intel_always,Intercepteur de communications sur $name remonté jusqu'à vous,Un audit approfondi des journaux de sécurité de $name a abouti à vous désigner comme responsable de la faille de sécurité.,,,,,,
,,,,,,,,,,,,
# trade disruption reports,,,,,,,,,,,,
trade_disruption,report_td,,,news,Commerce perturbé $onOrAt $market dans le système $marketSystem,Les convois commerciaux à destination ou en provenance de $market n'atteignent plus leur destination en nombre significatif. Le rapport pointe la piraterie ou les conflits armés comme causes les plus probables.,"Les prix devraient revenir à la normale d'ici deux mois.

Les marchandises suivantes sont affectées :
$commoditySummary

Sélectionnez « prix » et basculez sur l'onglet carte pour plus de détails.",,graphics/icons/markets/trade_disruption.png,prices,,
trade_disruption,report_smuggling,,,news,Activité de contrebande $onOrAt $market dans le système $marketSystem,La situation $onOrAt $market s'est dégradée en raison d'une récente activité de contrebande. Les autorités locales ont promis l'ouverture d'une enquête approfondie.,Stabilité réduite de $smugglingPenalty.,,graphics/icons/markets/smuggling.png,,,
trade_disruption,report_smuggling_player,,,news,Activité de contrebande $onOrAt $market dans le système $marketSystem,La situation $onOrAt $market s'est dégradée en raison d'une récente activité de contrebande à laquelle vous avez participé. Les autorités locales ont promis l'ouverture d'une enquête approfondie.,"Stabilité réduite de $smugglingPenalty.

Vos actions récentes ont contribué à cette situation.",,graphics/icons/markets/smuggling.png,,,
,,,,,,,,,,,,
# rep changes,,,,,,,,,,,,
rep_tracker,trade_rep,,,player_intel_always,Relations avec $theFaction améliorées grâce au commerce,Tout indique que votre récente activité commerciale à $marketList n'est pas passée inaperçue auprès de $theFaction.,,,,nomap,,
rep_tracker,smuggling_rep,,,player_intel_always,Relations avec $theFaction dégradées en raison de contrebande,"Tout indique que vos récentes transactions sur le marché noir à $marketList ont été remarquées par $theFaction. Aucune preuve formelle n'existe, mais il est évident que vos agissements font l'objet d'une surveillance accrue.",,,,nomap,,
rep_tracker,trade_negative,,,player_intel_always,Relations avec $theHostileFaction dégradées en raison de vos échanges avec $pickedMarket,"Tout indique que vos échanges avec $pickedMarket ont été suffisamment importants pour attirer l'attention de $theHostileFaction, qui est hostile à $theFaction.","Votre activité signalée en premier lieu par des acteurs à $hostileMarket.

La contrebande éventuelle a eu moins d'impact que le commerce en clair.",,,nomap,,
#rep_tracker,trade_no_change,,,player_intel_always,Standing with $theFaction unaffected by trade,"Your recent trade activity with $marketList, while noted by $theFaction, has not led to any change in relations.",The relationship is at a point where trade will not influence it.,,,,,
#rep_tracker,trade_no_change_negative,,,player_intel_always,Standing with $theHostileFaction unaffected by trade,"Your recent trade activity with $pickedMarket, while noted by the hostile authorities at $hostileMarket, has not led to any change in relations.",The relationship is at a point where trade will not influence it.,,,,,
rep_tracker,trade_xp_gain,,,player_intel_always,Expérience commerciale,Vos récentes transactions vous ont apporté un éclairage nouveau sur les mécanismes de l'économie. Vous avez également noué des contacts précieux.,$xpGain points d'expérience gagnés.,,,nomap,,
rep_tracker,rep_decay_positive,,,player_intel_always,Relations avec $theFaction améliorées,"Les offenses mineures finissent par être oubliées avec le temps, à condition de ne pas les raviver par un comportement répété.",,,,nomap,,
#rep_tracker,rep_decay_negative,,,player_intel_always,Standing with $theFaction reduced,"Minor slights and small favors are quickly forgotten, if not reinforced by a recent pattern of behavior.",,,,,,
rep_tracker,battle_rep_positive,,,secure_comm,Relations avec $theFaction améliorées,Votre engagement contre $otherFleetName a été remarqué par $theFaction à $market.,Nouvelles du combat captées en premier lieu par des acteurs à $market.,,,nomap,,
rep_tracker,comm_access_granted,,,player_intel_always,Accès aux canaux sécurisés de $Faction accordé,"En raison de votre bonne réputation ($factionStanding), les autorités $onOrAt $market vous ont accordé l'accès aux canaux de communication internes de $Faction.",,,,nomap,,
rep_tracker,comm_access_revoked,,,player_intel_always,Accès aux canaux sécurisés de $Faction révoqué,"En raison de la dégradation de votre réputation ($factionStanding), votre accès aux canaux de communication internes de $Faction a été révoqué.",,,,nomap,,
,,,,,,,,,,,,
# trade info updates (prices etc),,,,,,,,,,,,
trade_info,prices_market,,,player_intel_always,Mise à jour des prix — $market,"En accédant au réseau de communications local, vous avez obtenu des informations sur certaines marchandises affichant des prix inhabituels à $market.",$priceList,,,prices,,
trade_info,prices_local,,,player_intel_always,Mise à jour des prix locaux,L'interception du trafic comm local et l'exploitation d'autres sources de données disponibles ont permis de collecter des informations tarifaires sur certaines marchandises dans les marchés du système.,$priceList,,,prices,,
trade_info,prices_sniffer,,,player_intel_always,Mise à jour des prix,Une microtransmission captée par le collecteur comm de $relayName contient des informations tarifaires sur certaines marchandises dans le système stellaire $fromSystem.,$priceList,,,prices,,
trade_info,prices_remote,,,player_intel_always,Mise à jour des prix,L'interception du trafic comm local et l'exploitation d'autres sources de données disponibles ont permis de collecter des informations tarifaires sur certaines marchandises dans le système stellaire $fromSystem.,$priceList,,,prices,,
,,,,,,,,,,,,
# customs inspection,,,,,,,,,,,,
customs_inspection,player_evaded,,,player_intel_always,Inspection douanière,"Votre esquive de l'inspection douanière, bien que couronnée de succès à court terme, n'est pas passée inaperçue aux yeux des autorités de $faction.",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
# system-wide bounty reports,,,,,,,,,,,,
system_bounty,likely,,,player_intel,Prime susceptible d'être émise par $market,La rumeur court que les autorités $onOrAt $market envisagent de mettre à prix toutes les flottes hostiles à $theMarketFaction.,"
",,,,,
system_bounty,start,,,news,Prime émise par $market,"Les autorités $onOrAt $market, excédées par les attaques incessantes contre le commerce, les perturbations des échanges et l'état quasi-belliqueux permanent, ont mis à prix toutes les flottes hostiles à $theMarketFaction.","Valable pendant $daysLeft jour(s).

La somme versée dépend des vaisseaux détruits (à partir de $baseBounty crédits pour une frégate) ; votre réputation auprès de $theMarketFaction pourra également s'améliorer.

Les vaisseaux doivent être détruits ou mis hors combat dans le système ou à proximité en hyperespace.

Le paiement est acheminé via un canal comm sécurisé par l'intermédiaire d'un relais comm voisin.
",,,,,
system_bounty,start_with_faction,,,news,Prime émise par $market,"Les autorités $onOrAt $market, excédées par les attaques incessantes contre le commerce, les perturbations des échanges et l'état quasi-belliqueux permanent, ont mis à prix toutes les flottes hostiles à $theMarketFaction.","Valable pendant $daysLeft jour(s).

Vraisemblablement déclenchée par l'activité de $enemyFaction dans le système.

La somme versée dépend des vaisseaux détruits (à partir de $baseBounty crédits pour une frégate) ; votre réputation auprès de $theMarketFaction pourra également s'améliorer.

Les vaisseaux doivent être détruits ou mis hors combat dans le système ou à proximité en hyperespace.

Le paiement est acheminé via un canal comm sécurisé par l'intermédiaire d'un relais comm voisin.
",,,,,
system_bounty,bounty_payment,,,secure_comm,Paiement de prime de $market : $bountyCredits crédits,Le message contient une pièce jointe chiffrée renfermant un paiement de $bountyCredits crédits.,"$bountyCredits crédits perçus.

$market continuera d'offrir la prime pendant encore $daysLeft jour(s).",,graphics/icons/intel/gain_credits.png,nomap,,
system_bounty,bounty_payment_share,,,secure_comm,Paiement de prime de $market : $bountyCredits crédits,"Le message contient une pièce jointe chiffrée renfermant votre part de la prime, soit $bountyCredits crédits.","$bountyCredits crédits perçus.

$market continuera d'offrir la prime pendant encore $daysLeft jour(s).",,graphics/icons/intel/gain_credits.png,nomap,,
system_bounty,bounty_no_payment,,,player_intel_always,Évaluation : prime émise par $market,Le message contient un rapport de renseignement interne concernant la prime proposée par $market.,"Aucun paiement de prime en raison de la position de $theMarketFaction ($factionStanding) à votre égard.

$market continuera à proposer la prime pendant encore $daysLeft jour(s).",,,nomap,,
system_bounty,bounty_no_rep,,,player_intel_always,Évaluation : prime émise par $market,Le message contient un rapport de renseignement interne concernant la prime proposée par $market.,"Aucun paiement de prime ni amélioration des relations en raison de la position de $theMarketFaction ($factionStanding) à votre égard.

$market continuera à proposer la prime pendant encore $daysLeft jour(s).",,,nomap,,
system_bounty,end,,,news,Prime émise par $market — période expirée,Les autorités $onOrAt $market ont officiellement déclaré la période de prime terminée.,Aucun versement de prime supplémentaire ne sera effectué.,,,nomap,,
,,,,,,,,,,,,
comm_sniffer,report,,,player_comm_sniffer,Données de surveillance des communications,Une pièce jointe contient un relevé de diverses transmissions — humaines et automatisées — interceptées dans le système $system.,Améliore la précision des prédictions sur les événements futurs dans ce système stellaire.,,,,,
,,,,,,,,,,,,
# person bounty reports,,,,,,,,,,,,
person_bounty,start_pirate,,,news,Prime de $bountyCredits crédits émise par $theFaction sur $targetName,"Les autorités de $Faction $onOrAt $market ont émis une prime pour appréhender $targetName, un pirate notoire.","Récompense de $bountyCredits crédits, versée via canal sécurisé par un relais de communication à proximité.

Valable pendant $daysLeft jours.

$targetDesc

Serait localisé $hideoutCrumb.",,,,,
person_bounty,start_deserter,,,news,Prime de $bountyCredits crédits émise par $theFaction sur $targetName,"Les autorités de $Faction $onOrAt $market ont émis une prime pour appréhender $targetName, condamné pour désertion.","Récompense de $bountyCredits crédits versée via canal sécurisé par un relais de communication à proximité.

Valable pendant $daysLeft jours.

$targetDesc

Serait localisé $hideoutCrumb.",,,,,
person_bounty,bounty_payment_end,,,secure_comm,Paiement de prime de $theFaction : $bountyCredits crédits,Le message contient une pièce jointe chiffrée avec un versement de $bountyCredits crédits pour l'arrestation de $targetName.,$bountyCredits crédits perçus.,,graphics/icons/intel/gain_credits.png,nomap,,
person_bounty,bounty_payment_share_end,,,secure_comm,Paiement de prime de $theFaction : $bountyCredits crédits,"Le message contient une pièce jointe chiffrée avec votre part de la prime, soit $bountyCredits crédits, pour l'arrestation de $targetName.",$bountyCredits crédits perçus.,,graphics/icons/intel/gain_credits.png,nomap,,
person_bounty,bounty_no_payment_end,,,player_intel_always,Évaluation : prime sur $targetName,Le message contient un rapport de renseignement interne concernant la prime sur $targetName.,Aucun paiement de prime en raison de la position de $theFaction ($factionStanding) à votre égard.,,,nomap,,
person_bounty,bounty_no_rep_end,,,player_intel_always,Évaluation : prime sur $targetName,Le message contient un rapport de renseignement interne concernant la prime sur $targetName.,Aucun paiement de prime ni amélioration des relations en raison de la position de $theFaction ($factionStanding) à votre égard.,,,nomap,,
person_bounty,other_end,,,news,Prime sur $targetName annulée,Des rapports indiquent que $targetName a été tué lors d'un incident sans rapport avec la prime émise.,La prime n'est plus disponible.,,,nomap,,
person_bounty,expire_end,,,news,Prime sur $targetName annulée,Les autorités de $Faction $onOrAt $market ont retiré la prime précédemment émise sur $targetName.,La prime n'est plus disponible.,,,nomap,,
,,,,,,,,,,,,
# test mission,,,,,,,,,,,,
test_mission,start,,,player_intel_always,Mission de test acceptée,"Vous avez accepté une mission de test. Toutes mes félicitations, j'imagine.",Aucune récompense n'est à prévoir.,,,,,
test_mission,end_success,,,player_intel_always,Mission de test accomplie avec succès,Mission de test accomplie avec succès.,,,,,,
test_mission,end_failure,,,player_intel_always,Mission de test échouée,Mission de test échouée.,,,,,,
,,,,,,,,,,,,
# market procurement mission,,,,,,,,,,,,
market_procurement,posting,,,posting,Acquérir $quantity unités de $commodity et les livrer à $market sous $daysLeft contre $rewardCredits.,Contactez $contactDesc $contactName à $market pour finaliser la livraison.,"Paiement de base : $perUnit par unité.

$market est sous le contrôle des autorités de $marketFaction.

$contactName $contactDetail.",,,no_system_prefix,,
market_procurement,posting_bonus,,,posting,Acquérir $quantity unités de $commodity et les livrer à $market sous $daysLeft contre $rewardCredits. Bonus de $bonusCredits en cas de livraison sous $bonusDays.,Contactez $contactDesc $contactName à $market pour finaliser la livraison.,"Paiement de base : $perUnit par unité.

$market est sous le contrôle des autorités de $marketFaction.

$contactName $contactDetail.",,,,,
market_procurement,accept,,,secure_comm,Acceptée : acquérir $quantity unité(s) de $commodity et livrer à $market,"Acquérir $quantity unités de $commodity et les livrer à $market.

Contactez $contactDesc $contactName à $market pour finaliser la livraison.","$daysLeft pour effectuer la livraison.

Récompense : $rewardCredits ($perUnit par unité).

$market est sous le contrôle des autorités de $marketFaction.

$contactName $contactDetail.",,,"no_system_prefix, important",,
market_procurement,accept_bonus,,,secure_comm,Acceptée : acquérir $quantity unité(s) de $commodity et livrer à $market,"Acquérir $quantity unités de $commodity et les livrer à $market.

Contactez $contactDesc $contactName à $market pour finaliser la livraison.","$daysLeft pour effectuer la livraison.

Récompense : $rewardCredits ($perUnit par unité).

Bonus de $bonusCredits en cas de livraison sous $bonusDays.

$market est sous le contrôle des autorités de $marketFaction.

$contactName $contactDetail.",,,"no_system_prefix, important",,
market_procurement,success,,,player_intel_always,Terminée : $quantity unité(s) de $commodity livrée(s) à $market,Mission accomplie avec succès.,$actualReward obtenu.,,,"no_system_prefix, important",,
market_procurement,success_bonus,,,player_intel_always,Terminée : $quantity unité(s) de $commodity livrée(s) à $market,Mission accomplie avec succès.,"$actualReward perçus, dont $bonusCredits de prime.",,,"no_system_prefix, important",,
market_procurement,failure,,,player_intel_always,Échouée : livraison de $quantity unité(s) de $commodity à $market hors délai,Mission échouée — délai non respecté.,,,,"no_system_prefix, important",,
,,,,,,,,,,,,
# analyze entity mission,,,,,,,,,,,,
analyze_entity,posting,,,posting,Déployer le package de capteurs fourni sur $entityName dans $systemName sous $daysLeft pour une rémunération de $rewardCredits.,La mission sera considérée accomplie et le paiement validé dès l'activation du package de capteurs.,$locationHint,,,no_system_prefix,,
analyze_entity,accept,,,secure_comm,Acceptée : déploiement du package de capteurs sur $entityName dans $systemName,"Récompense de $rewardCredits, à compléter sous $daysLeft.

La mission sera considérée accomplie et le paiement validé dès l'activation du package de capteurs.",$locationHint,,,"no_system_prefix, important",,
analyze_entity,failure,,,player_intel_always,Échouée : déploiement du package de capteurs sur $entityName dans $systemName,Mission échouée — délai non respecté.,,,,"no_system_prefix, important",,
analyze_entity,success,,,player_intel_always,Terminée : déploiement du package de capteurs sur $entityName dans $systemName,Mission accomplie avec succès.,$rewardCredits perçus.,,,"no_system_prefix, important",,
,,,,,,,,,,,,
# survey planet mission,,,,,,,,,,,,
survey_planet,posting,,,posting,Effectuer un relevé complet de $planetName dans $systemName sous $daysLeft pour une rémunération de $rewardCredits.,La mission sera considérée accomplie et le paiement validé dès la fin du relevé.,$surveyInfo,,,no_system_prefix,,
survey_planet,accept,,,secure_comm,Acceptée : relevé complet de $planetName dans $systemName,"Récompense de $rewardCredits, à compléter sous $daysLeft.

La mission sera considérée accomplie et le paiement validé dès la fin du relevé.",$surveyInfo,,,"no_system_prefix, important",,
survey_planet,failure,,,player_intel_always,Échouée : relevé complet de $planetName dans $systemName,Mission échouée — délai non respecté.,,,,"no_system_prefix, important",,
survey_planet,success,,,player_intel_always,Terminée : relevé complet de $planetName dans $systemName,Mission accomplie avec succès.,$rewardCredits perçus.,,,"no_system_prefix, important",,
,,,,,,,,,,,,
# tutorial mission,,,,,,,,,,,,
tutorial_mission,start,,,secure_comm,Communication sécurisée depuis Ancyra,"Vous recevez une communication à faisceau étroit depuis le principal monde habité du système, Ancyra.

Le message est bref et vous demande de vous y rendre et de contacter $mainContactPost $mainContactName dès que possible.",,,,"no_system_prefix, important",,
tutorial_mission,sneak_start,,,player_intel_always,Récupérer les données du point de saut à Derinkuyu,"Contactez $dataContactName à la Station Minière de Derinkuyu pour obtenir les relevés bruts du point de saut.

Le contact doit être établi transpondeur éteint, les mineurs de Derinkuyu s'étant ralliés à la piraterie — votre flotte sera attaquée dans le cas contraire.","Activez ""Mode Furtif"" pour éviter d'être détecté, et ""Propulsion d'Urgence"" pour décrocher si vous êtes repéré.",,,"no_system_prefix, important",,
tutorial_mission,sneak_end,,,player_intel_always,Retourner à Ancyra avec les données,Retournez à Ancyra et contactez $mainContactPost $mainContactLastName pour lui remettre les données du point de saut.,,,,"no_system_prefix, important",,
