id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
orbitalworks,Chantiers Orbitaux,60,150,,12,heavyindustry,,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/orbital_works.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"Infrastructure industrielle centralisée dédiée à la production de matériel lourd, de fournitures et d'armements. Capable de construire des vaisseaux à peine dignes de l'espace ; une nanoforge peut y être installée pour améliorer la qualité de production.

Améliorée d'un composant orbital qui facilite davantage la construction navale, réduisant ainsi les défauts de fabrication.",1700,HIGH
fuelprod,Production de Carburant,90,120,,10,,,"fuelprod, industry, industrial",,graphics/icons/industry/fuel_production.png,com.fs.starfarer.api.impl.campaign.econ.impl.FuelProduction,"Cette installation produit le carburant des vaisseaux stellaires, véritable sang de la civilisation interstellaire. Sans les composants technologiques du Domaine, la production de carburant demeure un processus long et laborieux.",1800,HIGH
#advfuelprod,Production de Carburant Avancée,120,60,,5,fuelprod,,fuelprod,,graphics/icons/industry/advanced_fuel_production.png,com.fs.starfarer.api.impl.campaign.econ.impl.FuelProduction,"A massive Domain-tech facility produces starship fuel, the life-blood of interstellar civilization.",1900,
commerce,Commerce,90,90,,3,,,"industry, urban",,graphics/icons/industry/commerce.png,com.fs.starfarer.api.impl.campaign.econ.impl.TradeCenter,"Réglementations, subventions et infrastructures destinées à favoriser un commerce indépendant prospère. Réduit considérablement le contrôle direct exercé par l'administration sur la colonie.",1950,MEDIUM
station_base,Station Orbitale,,,,,,,"station, parent_item, important, structure",station,graphics/icons/industry/station_category.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Une station spatiale capable de soutenir les flottes alliées aux abords de $marketName, qu'il faut neutraliser avant toute tentative de bombardement.

Plusieurs variantes sont disponibles, les différences tenant davantage aux approches tactiques qu'à la puissance globale.",2000,
orbitalstation,Station Orbitale - Low Tech,50,90,,3,,battlestation,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Une station spatiale de basse technologie, dotée d'un blindage lourd et d'une puissance de feu moyenne.

Doit être neutralisée avant toute tentative de bombardement.",2010,
battlestation,Station de Combat - Low Tech,100,120,,4,orbitalstation,starfortress,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Une station spatiale renforcée d'un bastion lourd et de citadelles de défense ponctuelle.

Doit être neutralisée avant toute tentative de bombardement.",2020,
starfortress,Forteresse Stellaire - Low Tech,200,180,,5,battlestation,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/star_fortress.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Une station de combat au blindage renforcé, équipée de drones défensifs de classe Merlon-class et d'un vaste champ de mines.

Doit être neutralisée avant toute tentative de bombardement.",2030,
orbitalstation_mid,Station Orbitale - Midline,50,90,,3,,battlestation_mid,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_midline_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Une station spatiale de technologie intermédiaire, concentrant une puissance de feu lourde sur un flanc et capable d'une rotation axiale rapide.

Doit être neutralisée avant toute tentative de bombardement.",2040,
battlestation_mid,Station de Combat - Midline,100,120,,4,orbitalstation_mid,starfortress_mid,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_midline_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Une station spatiale renforcée de modules de soutien missile.

Doit être neutralisée avant toute tentative de bombardement.",2050,
starfortress_mid,Forteresse Stellaire - Midline,200,180,,5,battlestation_mid,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_midline_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/star_fortress.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Une station de combat au blindage renforcé, équipée de drones défensifs de classe Ravelin-class et d'un vaste champ de mines.

Doit être neutralisée avant toute tentative de bombardement.",2060,
orbitalstation_high,Station Orbitale - High Tech,50,90,,3,,battlestation_high,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_hightech_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Une station spatiale de haute technologie, dotée de boucliers rotatifs lourds, d'un contingent de chasseurs et d'une puissance de feu moyenne.

Doit être neutralisée avant toute tentative de bombardement.",2070,
battlestation_high,Station de Combat - High Tech,100,120,,4,orbitalstation_high,starfortress_high,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_hightech_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Une station spatiale renforcée d'une citadelle défensive à la puissance de feu lourde.

Doit être neutralisée avant toute tentative de bombardement.",2080,
starfortress_high,Forteresse Stellaire - High Tech,200,180,,5,battlestation_high,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_hightech_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/star_fortress.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Une station de combat au blindage renforcé, équipée de drones défensifs Gargoyle-class et de téléporteurs de mines guidées à longue portée.

Doit être neutralisée avant toute tentative de bombardement.",2090,
grounddefenses,Défenses Terrestres,30,60,,2,,heavybatteries,"grounddefenses, unraidable, tactical_bombardment, structure",,graphics/icons/industry/ground_defenses.png,com.fs.starfarer.api.impl.campaign.econ.impl.GroundDefenses,"Un réseau dispersé et semi-autonome d'installations d'armes dissimulées, rendant toute tentative d'assaut terrestre direct — ou même de simple raid — extrêmement coûteuse pour l'attaquant. Seul un bombardement orbital massif ou un écran actif d'une puissance démesurée peut venir à bout de ces défenses.",2200,
heavybatteries,Batteries Lourdes,60,90,,3,grounddefenses,,"grounddefenses, unraidable, tactical_bombardment, structure",,graphics/icons/industry/heavy_batteries.png,com.fs.starfarer.api.impl.campaign.econ.impl.GroundDefenses,"Des batteries blindées souterraines viennent compléter un réseau dispersé d'installations d'armes cachées. Les batteries terrestres sont capables d'une puissance de feu proprement redoutable — bien qu'elle ne se manifeste qu'en rendant les opérations au sol encore plus périlleuses, aucun capitaine de vaisseau n'étant assez téméraire pour s'aventurer dans leurs cônes de tir.",2300,
patrolhq,QG de Patrouille,60,60,,8,,militarybase,"patrol, unraidable, tactical_bombardment, structure",,graphics/icons/industry/patrol_hq.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,"Hangars, baies de maintenance, centre de commandement et de contrôle, casernes et opérations logistiques — tout ce qu'il faut pour projeter la force à travers un système stellaire. Une fois en place, des patrouilles militarisées traqueront les pirates et assureront la protection des convois alliés.",2400,
militarybase,Base Militaire,90,120,,10,patrolhq,highcommand,"military, unraidable, tactical_bombardment, industry",,graphics/icons/industry/military_base.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,"Ces installations permettent la projection de force entre les systèmes stellaires. Une telle entreprise militaire constitue une opération logistique colossale, exigeant la coordination de dizaines, voire de centaines de vaisseaux et de milliers d'officiers, d'équipages et de soldats.",2500,
highcommand,Haut Commandement,30,120,,14,militarybase,,"command, unraidable, tactical_bombardment, industry",,graphics/icons/industry/high_command.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,L'empire transstellaire ne peut exister que grâce à un corps d'élite d'officiers et de bureaucrates dotés de l'autorité sur les ressources de systèmes stellaires entiers. Un haut commandement établi permet d'organiser et de mener des opérations militaires à l'échelle du Secteur.,2600,
lionsguard,QG de la Garde du Lion,90,60,,6,,,"military, unraidable, tactical_bombardment, structure, codex_unlockable",,graphics/icons/industry/lions_guard.png,com.fs.starfarer.api.impl.campaign.econ.impl.LionsGuardHQ,"Quartier général de la redoutée garde personnelle de Phillip « le Lion de Sindria » Andrada. Bénéficiant d'un entraînement d'exception et de l'équipement le plus performant que l'argent puisse acheter, la loyauté fanatique de la Garde est entretenue par un système de privilèges et d'avantages qui l'élève au-dessus — et l'isole de — l'armée régulière du Diktat.",2650,
planetaryshield,Bouclier Planétaire,150,90,,3,,,"grounddefenses, structure, codex_unlockable",,graphics/icons/industry/planetary_shield.png,com.fs.starfarer.api.impl.campaign.econ.impl.PlanetaryShield,"Une enveloppe de plasma chargé, ensemencée de particules virtuelles exotiques, dont les effets perturbent l'efficacité des bombardements longue portée et même les incursions de petits vaisseaux. Le bouclier planétaire peut être rechargé en continu et piloté depuis une source centrale, constituant un obstacle redoutable contre toute forme d'assaut terrestre.",2700,EXTREME
waystation,Relais,20,60,,2,,,"waystation, structure",,graphics/icons/industry/waystation.png,com.fs.starfarer.api.impl.campaign.econ.impl.Waystation,Un dépôt de ravitaillement et de maintenance pour les flottes interstellaires. Améliore l'accessibilité d'une colonie.,155,MEDIUM
cryosanctum,Cryosanctuaire,150,90,,5,,,"cryosanctum, structure, codex_unlockable",,graphics/icons/industry/cryosanctum.png,com.fs.starfarer.api.impl.campaign.econ.impl.Cryosanctum,"Un immense caveau semblable à un mausolée, construit pour abriter ceux qui ont choisi de risquer le cryosommeil afin de traverser cette ère de chaos et de se réveiller dans ce qui sera, espèrent-ils, un âge plus civilisé. Les caissons cryogéniques eux-mêmes n'occupent qu'une infime partie de l'espace, éclipsés par une infrastructure de soutien aux redondances multiples, d'imposants systèmes de sécurité automatisés et des batteries anti-vaisseaux, le tout enchâssé dans un labyrinthe fortifié aux ramifications souterraines.",3000,EXTREME
,,,,,,,,,,,,,,
cryorevival,Centre de Cryorésurrection,60,60,,5,,,"cryorevival, structure, codex_unlockable",,graphics/icons/industry/cryorevival.png,com.fs.starfarer.api.impl.campaign.econ.impl.Cryorevival,Les installations nécessaires au réveil en masse et à l'intégration des passagers d'un cryodormeur de l'ère du Domaine. Augmente considérablement la croissance démographique.,3200,MEDIUM
