name,id,tags,planetary,decivRemove,script,desc,icon,order
Pénurie Alimentaire,event_food_shortage,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FoodShortage,"There's a temporary lack of available food on $market.
- Stability reduced by $stabilityPenalty
- Approximately $neededFood units of food needed to end shortage
- Food prices increased due to lowered food supply
- Increased reputation and experience from selling food",graphics/icons/markets/food_shortage.png,1000
Troubles Récents,recent_unrest,show_in_codex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RecentUnrest,$Market a récemment connu des événements tumultueux dont les effets persistent sur la stabilité.,graphics/icons/markets/recent_unrest.png,2000
Perturbation Commerciale,event_trade_disruption,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeDisruption,"Les flottes commerciales en provenance ou à destination de $market subissent des pertes considérables. La piraterie ou la guerre en sont les causes les plus probables.

Les marchandises suivantes sont affectées :
$commoditySummary",graphics/icons/markets/trade_disruption.png,1100
Contrebande,event_smuggling,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Smuggling,"$market connaît un volume élevé d'activités de contrebande.

- Stabilité réduite de $smugglingPenalty",graphics/icons/markets/smuggling.png,1000
Prime Systémique,event_bounty,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.SystemBounty,,graphics/icons/markets/bounty.png,1000
Noyau d'IA Renégat,rogue_ai_core,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RogueAICore,"Un noyau d'IA renégat opère sur ou à proximité de $market. Ses plans à long terme et ses ambitions, au-delà de sa propre survie, restent inconnus.

Au minimum, la nécessité de se prémunir contre ses actions potentielles rend les opérations quotidiennes moins efficaces et crée un terreau fertile pour des rumeurs alarmantes.",graphics/icons/markets/rogue_ai.png,1200
Admin Noyau IA (caché),ai_core_admin,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AICoreAdmin,Condition masquée pour suivre quand le noyau devient inamovible. Pas besoin d'icône.,graphics/icons/markets/rogue_ai.png,1000
Activité Pirate,pirate_activity,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.PirateActivity,"Des signes indiquent que des pirates ciblent le trafic maritime et les colonies de ce système — des inspecteurs portuaires contraints de fermer les yeux, des incohérences dans les manifestes de cargaison, et une recrudescence générale de l'activité criminelle.

Les pirates disposent très probablement d'une base quelque part dans les environs.",graphics/icons/markets/pirate_activity.png,1300
Activité Hostile,hostile_activity,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.events.HostileActivity,,graphics/icons/markets/pirate_activity.png,1350
Répit de Piraterie,piracy_respite,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.PiracyRespite,Cette colonie bénéficie d'un répit face aux ravages de la piraterie, si courante dans le Secteur.,graphics/icons/markets/respite40.png,1375
Régime Établi,established_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.EstablishedPolity,,graphics/icons/markets/established_polity.png,1380
Blocus,blockaded,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Blockaded,"Le système où se trouve cette colonie subit un blocus, et le trafic commercial régulier est victime de harcèlement, voire pire. Les effets persisteront tant que la force de blocus ne se sera pas retirée ou n'aura pas été solidement défaite.",graphics/icons/markets/blockade.png,1385
Cellules du Sentier Luddique,pather_cells,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.LuddicPathCells,,graphics/icons/markets/pather_cells.png,1400
,,,,,,,,
,,,,,,,,
Perturbation Commerciale,shipping_disruption,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShippingDisruption,,graphics/icons/markets/trade_disruption.png,1000
,,,,,,,,
,,,,,,,,
Relais de Comm (caché),comm_relay,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CommRelayCondition,Condition masquée ; pas besoin d'icône.,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Habitable,habitable,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.Habitable,Les êtres humains peuvent survivre sans protection à l'exposition aux conditions de surface de $market.,graphics/icons/markets/habitable.png,21
,,,,,,,,
,,,,,,,,
Ruines Éparses,ruins_scattered,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Ce monde n'a été que légèrement effleuré par le grand projet du Domaine avant l'Effondrement. Seuls quelques dômes épars et brisés subsistent, renfermant peut-être des caches oubliées de matériaux précieux.",graphics/icons/markets/ruins_scattered.png,100
Ruines Étendues,ruins_widespread,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Des ruines étendues, des signatures de sources radioactives et l'écho radar caractéristique des structures en céramétal expansé parsèment $market, témoignant d'un effort de colonisation modeste mais déterminé datant de la dernière période d'expansion du Domaine.",graphics/icons/markets/ruins_widespread.png,100
Ruines Massives,ruins_extensive,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Des cités en ruines parsèment la surface de $market, déversant depuis leurs coeurs brisés des routes criblées de cratères et des lignes de magrail effondrées jusqu'aux squelettes d'usines, de dômes aquaponiques et de tours de communication.",graphics/icons/markets/ruins_extensive.png,100
Ruines Immenses,ruins_vast,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$Market est recouverte de ruines immenses : cités, usines, mines, fermes, habitations. Les morts y abondent en sinistre profusion, mêlés à des matériaux récupérables, des marchandises, des outils et des armes. Ce monde est un tombeau érigé à l'orgueil démesuré du projet de colonisation galactique et d'hégémonie du Domaine.",graphics/icons/markets/ruins_vast.png,100
,,,,,,,,
,,,,,,,,
Froid,cold,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Les basses températures de $market nécessitent un équipement spécialisé pour effectuer les opérations courantes, compliquant le maintien des systèmes vitaux et des infrastructures.",graphics/icons/markets/cold.png,25
Froid Extrême,very_cold,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Le froid extrême impose un équipement et des protocoles spécialisés pour opérer en sécurité sur $market, compliquant la logistique, les systèmes vitaux et les infrastructures.",graphics/icons/markets/cold_extreme.png,25
,,,,,,,,
Chaud,hot,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Les conditions de haute température de $market nécessitent un équipement spécialisé pour effectuer les opérations courantes, compliquant le maintien des systèmes vitaux et des infrastructures.",graphics/icons/markets/hot.png,25
Chaleur Extrême,very_hot,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"La chaleur extrême impose un équipement et des protocoles spécialisés pour opérer en sécurité sur $market, compliquant sérieusement la logistique, les systèmes vitaux et la stabilité à long terme des infrastructures.",graphics/icons/markets/hot_extreme.png,25
,,,,,,,,
,,,,,,,,
Activité Tectonique,tectonic_activity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,La surface de $market est instable et sujette à de violents séismes. Toute structure nécessite un renforcement spécial et toute excavation implique des risques considérables.,graphics/icons/markets/tectonic.png,26
Activité Tectonique Extrême,extreme_tectonic_activity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,La croûte de $market bouillonne de manière chaotique sous l'effet de séismes extrêmes et d'événements volcaniques cataclysmiques. Toute opération exige une prudence exceptionnelle et l'utilisation de systèmes d'alerte à redondance multiple pour éviter les pires dangers. Les constructions sur ce monde ne peuvent être considérées que comme semi-permanentes.,graphics/icons/markets/tectonic_extreme.png,26
,,,,,,,,
,,,,,,,,
Pas d'Atmosphère,no_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Aucune atmosphère notable n'existe sur $market. Sa surface est exposée à l'érosion implacable de l'espace, un crachin constant de radiations et de micrométéorites.",graphics/icons/markets/atmosphere_none.png,27
Atmosphère Ténue,thin_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,Une atmosphère raréfiée s'accroche obstinément à la surface de $market.,graphics/icons/markets/atmosphere_thin.png,27
Atmosphère Toxique,toxic_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"L'atmosphère de $market est exceptionnellement toxique et corrosive, rongeant les surfaces non protégées et exigeant le scellement hermétique de tout espace habité.",graphics/icons/markets/atmosphere_toxic.png,27
Atmosphère Dense,dense_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"La surface de $market est enveloppée d'une atmosphère épaisse, avec des vortex turbulents à son sommet et une soupe suffocante à ses points les plus bas. Les capteurs sont perturbés et les opérations doivent être menées avec précaution.",graphics/icons/markets/atmosphere_dense.png,27
,,,,,,,,
,,,,,,,,
Climat Doux,mild_climate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.MildClimate,Le climat de $market est accueillant et clément ; une légère brume salue chaque lever de soleil avant de se retirer en nuages doux qui rougeoient agréablement à chaque crépuscule.,graphics/icons/markets/climate_mild.png,28
Conditions Météorologiques Extrêmes,extreme_weather,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"De violentes tempêtes hérissées d'éclairs font rage dans les cieux de $market. Bien que d'une beauté sublime vue depuis l'orbite, elles engendrent des conditions de surface rudes rendant le transport et l'habitation extrêmement difficiles.",graphics/icons/markets/weather_extreme.png,28
,,,,,,,,
Faible Gravité,low_gravity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LowGravity,"La gravité est exceptionnellement faible sur la surface de $market, bien que nettement supérieure à la gravité zéro. Le travail et l'utilisation de machines (relativement) lourdes sont compliqués par les procédures non standard nécessaires pour gérer les conditions altérées de friction, de poids et de dynamique de pression.",graphics/icons/markets/gravity_low.png,24
Forte Gravité,high_gravity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.HighGravity,La force de gravité à la surface de $market est écrasante. Les humains ont besoin d'exosquelettes motorisés pour se déplacer normalement et trouvent même les actions les plus simples épuisantes. L'habitation permanente est éprouvante dans le meilleur des cas. Toutes les opérations s'effectuent avec un danger accru de chutes et — si l'ingénierie spécialisée n'est pas conduite avec une paranoïa adéquate — d'effondrements structurels.,graphics/icons/markets/gravity_high.png,24
,,,,,,,,
Irradié,irradiated,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,La surface de $market est ravagée par les radiations. Tout être vivant doit se confiner dans un habitat blindé pour survivre durablement ici. Les circuits non durcis et les matériaux ou machines à l'échelle nanométrique sont également voués à une défaillance rapide dans ces conditions hostiles.,graphics/icons/markets/irradiated.png,29
,,,,,,,,
,,,,,,,,
Biosphère Hostile,inimical_biosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LCAttractorLow,"La biosphère de $market est mortelle pour les êtres humains non protégés. Si ces conditions fascinent les biologistes, les techniciens de surface sont entravés par de stricts protocoles de quarantaine dans l'exécution de leurs tâches courantes.",graphics/icons/markets/inimical_biosphere.png,30
,,,,,,,,
Surface Recouverte d'Eau,water_surface,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"C'est un monde océanique dépourvu de surface solide substantielle pour atterrir, marcher ou construire. Les opérations sont compliquées par la nécessité d'une formation et d'un équipement spécialisés.",graphics/icons/markets/water_covered.png,31
,,,,,,,,
Faible Luminosité,poor_light,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,L'étoile primaire de $market ne fournit qu'une illumination et une énergie dérisoires à ce monde.,graphics/icons/markets/poor_light.png,32
Obscurité,dark,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"La surface de $market est plongée dans l'obscurité et les ténèbres, ne recevant pratiquement aucune illumination de son étoile primaire.",graphics/icons/markets/darkness.png,32
,,,,,,,,
Impacts de Météorites,meteor_impacts,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Ce monde est bombardé à un rythme effroyable par des pluies de météorites régulières. Tout habitant humain, aussi temporaire soit-il, doit garder un oeil méfiant rivé vers le ciel. Toute installation permanente devrait idéalement être profondément enfouie et solidement fortifiée.",graphics/icons/markets/meteor_impacts.png,33
,,,,,,,,
,,,,,,,,
Pollution,pollution,,,,com.fs.starfarer.api.impl.campaign.econ.Pollution,"L'industrie humaine a laissé ce monde saturé de dioxines, de composés soufrés, de cendres et du tic-tac régulier de poussières radioactives en décomposition. Des lambeaux de plastique s'accrochent à des éclats de mousse métallique, le ciel figé sur un canal mort.",graphics/icons/markets/pollution.png,110
,,,,,,,,
,,,,,,,,
Gisements de Minerai Épars,ore_sparse,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Quelques gisements de minerai épars existent ici, mais ils relèvent davantage de l'intérêt académique qu'industriel car leur extraction est à peine rentable.",graphics/icons/markets/ore_sparse.png,50
Gisements de Minerai Modérés,ore_moderate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market contient des gisements de minerai modérés qui, dans les bonnes conditions économiques, pourraient être exploités de manière rentable.",graphics/icons/markets/ore_moderate.png,50
Gisements de Minerai Abondants,ore_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Des gisements de minerai abondants, étendus et exploitables de manière rentable se trouvent sur $market.",graphics/icons/markets/ore_abundant.png,50
Gisements de Minerai Riches,ore_rich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,De riches gisements minéraux forment un réseau dense dans la croûte de $market, mais il faut un industriel ambitieux pour les exploiter et en tirer des profits fabuleux.,graphics/icons/markets/ore_rich.png,50
Gisements de Minerai Ultra-Riches,ore_ultrarich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Une richesse minérale existe sur $market, touchée par Midas au-delà des fantasmes les plus fous des légendaires mégacorporations minières de l'ère du Domaine.",graphics/icons/markets/ore_ultrarich.png,50
,,,,,,,,
,,,,,,,,
Gisements de Minerai Rare Épars,rare_ore_sparse,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Quelques gisements épars de minerai transplutonique existent ici, mais ils relèvent davantage de l'intérêt académique qu'industriel car leur extraction est à peine rentable.",graphics/icons/markets/rareore_sparse.png,60
Gisements de Minerai Rare Modérés,rare_ore_moderate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market contient de modestes gisements transplutoniques qui, avec une industrie et des investissements soutenus, pourraient être exploités de manière rentable.",graphics/icons/markets/rareore_moderate.png,60
Gisements de Minerai Rare Abondants,rare_ore_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"D'abondants gisements transplutoniques reposent dans la croûte de $market, suffisants pour alimenter les ambitions de tout seigneur de guerre ou magnat digne de ce nom.",graphics/icons/markets/rareore_abundant.png,60
Gisements de Minerai Rare Riches,rare_ore_rich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"D'épaisses veines de transplutoniques se répandent avec une profusion glorieuse dans la croûte de $market, promettant un pouvoir immense et puissant à quiconque osera tendre la main pour s'en emparer.",graphics/icons/markets/rareore_rich.png,60
Gisements de Minerai Rare Ultra-Riches,rare_ore_ultrarich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Les gisements transplutoniques scintillant avec une densité incroyable sur la grille sensorielle évoquent les présages d'un pouvoir capable de forger de puissantes flottes de guerre pour réduire des mondes en cendres — ou un éon de splendeur et de richesse pour un État aux tours de cristal tel qu'il en existait dans les cycles pré-Effondrement du Domaine.,graphics/icons/markets/rareore_ultrarich.png,60
,,,,,,,,
,,,,,,,,
Volatils à l'État de Traces,volatiles_trace,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Les traces de volatils trouvées ici justifient à peine leur récolte.,graphics/icons/markets/volatiles_trace.png,40
