id,type,text1,text2,text3,text4,text5,notes
heavyac,WEAPON,"Un canon à triple canon qui tire une rafale d'obus standardisés à moyenne portée. Il est le plus efficace contre les boucliers ennemis.

Autocanon de calibre moyen à triple canon, généralement déployé avec des munitions de calibre moyen. Des amorces de mise à feu électriques assurent des comptages de tir précis. Une excellente arme d'appui-feu, typiquement montée sur des vaisseaux de classe destroyer et croiseur. Une batterie d'autocanons lourds avec une solution de tir adéquate peut représenter une menace sérieuse pour les vaisseaux capitaux.

Toutefois, la masse supplémentaire nécessaire pour accueillir les systèmes complexes d'autochargeur et de refroidissement se traduit par une vitesse de rotation très médiocre.",,,,,
hveldriver,WEAPON,"Une arme spécialisée conçue pour surcharger et désactiver les systèmes ennemis à distance. Le projectile en duranium à haute vélocité est également efficace contre les boucliers.

Le propulseur hypervéloce utilise un processus en 2 étapes pour accélérer un projectile en duranium avec un noyau de fer-cobalt magnétisé à très haute vélocité. Une charge chimique accélère d'abord le projectile, puis les bobines magnétiques prennent le relais, accélérant davantage le projectile et stabilisant sa trajectoire. Le projectile est fortement chargé au moment où il atteint la cible, générant une interférence électromagnétique significative sur le vaisseau impacté.",,,,,
heavyneedler,WEAPON,"Un affût double du needler léger avec une base plus lourde, ce système d'arme avancé est capable de submerger rapidement les projecteurs de bouclier.

Le needler lourd est une arme avancée qui tire des fléchettes de petit calibre. Amélioration du needler léger, il dispose de meilleurs systèmes d'alimentation et de refroidissement, permettant une cadence de tir encore plus élevée. Les projectiles sont identiques à la version légère : des fléchettes à chemise de tungstène en munitions sans douille.",,,,,
gauss,WEAPON,"Une arme longue portée conçue pour surcharger les boucliers de la cible. Le lourd projectile cinétique qu'elle tire est également efficace contre tout sauf les blindages les plus épais.

Utilise des bobines magnétiques pour accélérer un gros projectile composite ultra-dense à des vitesses relativistes. Généralement évalué dans la gamme des centaines de giga-ampères, dépassant rarement un téra-ampère. Et contrairement à la plupart des armes balistiques, génère une charge de flux très élevée au tir. Les tourelles équipées de ce système ont une vitesse de rotation extrêmement médiocre.

Arme très efficace dont l'utilité est limitée par la faible puissance de réacteur des vaisseaux qui disposent typiquement de grands emplacements d'armes balistiques.",,,,,
hephag,WEAPON,"Un canon à moyenne portée conçu pour percer les blindages lourds. Sa puissance de feu brute lui permet également de submerger les émetteurs de bouclier les plus faibles.

Une plateforme d'arme véritablement dévastatrice, nommée d'après un ancien dieu terrestre associé aux volcans. Un affût de tourelle typique comporte deux canons L/89 qui alternent le tir d'obus destructeurs de blindage à haute cadence. Un éjecteur électromagnétique, un système d'alimentation motorisé et des nanoréfrigérants permettent à l'arme de tirer pendant de longues périodes. Les obus à charge formée ont une faible vélocité en sortie de canon et une grande puissance de pénétration de blindage.",,,,,
mark9,WEAPON,"Un imposant autocanon à moyenne portée, le plus efficace contre les boucliers. Pulvérise également les coques non blindées avec un grand volume de projectiles de gros calibre.

Il est établi que les vaisseaux de guerre des premières époques du Domain ne disposaient pas des niveaux de protection de blindage contemporains. Une arme portant un nom comme autocanon Mark IX était probablement un raffinement des premières écoles d'ingénierie d'armement du Domain. Deux canons combinés à un système unique de double chargeur forment le cœur du système d'arme.

Les plans du Mark IX furent découverts pour la première fois dans le Secteur à bord d'une épave à la dérive capturée dans le puits gravitationnel de Penelope's Star. Après un examen hâtif par un évaluateur non qualifié, la conception fut déclarée obsolète. Les plans furent vendus aux enchères à une petite organisation mercenaire connue sous le nom de Free Star Combine, une filiale militante du Ko Combine, puis oubliés.

Des cycles plus tard, le Free Star Combine construisit enfin un prototype et entama les essais de l'arme. L'arme fut jugée trop volumineuse, difficile à monter sur tout sauf les plus grands vaisseaux, médiocre au mieux contre les cibles blindées, et sa portée n'avait rien d'extraordinaire. Néanmoins, le Mark IX refusa obstinément de se laisser discréditer par les théoriciens, car sa puissance de feu brute est impressionnante. Ces détracteurs furent encore plus réduits au silence lorsque les essais secondaires montrèrent à quel point le Mark IX est absolument dévastateur contre les générateurs de bouclier.

Les résultats de ces essais ne restèrent pas secrets longtemps, et la disponibilité des plans désormais courants signifie que le Mark IX fut rapidement fabriqué pour répondre à la demande dans le Secteur.",,,,,
mjolnir,WEAPON,"Un canon à moyenne portée qui délivre des dégâts soutenus supérieurs et dispose également d'une charge EMP significative.

Une conception très avancée, le Mjolnir est techniquement un projecteur d'obus magnéto-gravitique, pas un canon standard. Les micro-condensateurs de chaque obus sont capables de délivrer suffisamment d'énergie pour créer une singularité localisée à petite échelle. La lentille gravitique intégrée dévaste toute matière environnante et crée le redouté effet d'impulsion électromagnétique (EMP), désactivant les armes et systèmes de la cible.",,,,,
multineedler,WEAPON,"Tire des multitudes de projectiles cinétiques dans un arc étroit, créant une grêle de projectiles dévastatrice qui submerge aisément la plupart des projecteurs de bouclier.

Le Storm Needler est une arme à fléchettes qui tire des munitions sans douille de petit calibre. Ayant atteint les limites pratiques des systèmes de refroidissement de taille moyenne, les concepteurs d'armes sans douille ont ouvert la voie vers la catégorie des armes lourdes avec les recycleurs de nano-réfrigérant avancés du Storm Needler, le rayage magnétisé par canon et le fonctionnement automatisé. Un autochargeur intelligent déballe et charge juste la bonne quantité de munitions depuis les magasins, permettant un fonctionnement prolongé à condition de disposer d'une capacité de flux adéquate.",,,,,
hellbore,WEAPON,"Un énorme canon qui tire des projectiles lents chargés de plasma. Les obus sont très efficaces contre le blindage et pulvérisent toute structure de coque restante en dessous.

Une plateforme d'arme redoutée, rarement déployée en raison de la complexité impliquée dans la fabrication d'un canon composite capable de tirer en toute sécurité d'énormes obus explosifs à charge formée. Lorsqu'un tel obus impacte une cible, l'effet Neumann provoque la propulsion d'un jet de métal en fusion dans le blindage de la cible, vaporisant une petite zone, causant des brèches de coque, une dépressurisation et des dommages internes considérables dus aux éclats.",,,,,
reaper,WEAPON,"Une torpille unique non guidée d'une puissance dévastatrice dotée d'un moteur embarqué puissant.

L'arme de frappe par excellence, une seule torpille Reaper est un gros système de livraison automoteur, blindé et non guidé pour une ogive nucléaire catalysée par antimatière enrichie. La science derrière le détonateur étonnamment compact est mal comprise dans le Secteur, bien qu'on spécule largement qu'elle repose sur une physique classifiée secrète par les autorités du Domain. Ce que l'on sait, c'est que trois ou quatre de ces torpilles passant à travers les arcs de PD suffisent à détruire même le plus grand vaisseau capital.",,,,,
atropos,WEAPON,"Un rack de torpilles guidées avancées. La charge utile est plus petite que d'habitude pour faire place au système de guidage avancé et à la masse de réaction du système de manœuvre.

La torpille Atropos est une grande torpille guidée à portée étendue. Chaque rack monte deux torpilles pouvant être tirées séparément, offrant aux capitaines de frappe une flexibilité maximale. L'ogive nucléaire catalysée par antimatière typiquement utilisée dans les ogives de torpilles est absente ici, car les interférences baryoniques du détonateur fausseraient les systèmes de guidage. Elle est remplacée par une charge chimique plus petite, mais néanmoins puissante.",,,,,
atropos_single,WEAPON,"Une torpille unique avancée et guidée. La charge utile est plus petite que d'habitude pour faire place au système de guidage avancé et à la masse de réaction du système de manœuvre.

La torpille Atropos est une grande torpille guidée à portée étendue. L'ogive nucléaire catalysée par antimatière typiquement utilisée dans les ogives de torpilles est absente ici, car les interférences baryoniques du détonateur fausseraient les systèmes de guidage. Elle est remplacée par une charge chimique plus petite, mais néanmoins puissante.

Cet affût ne comporte qu'une seule torpille.",,,,,
swarmer,WEAPON,"Un lanceur de missiles guidés à courte portée. Les missiles sont conçus pour intercepter des cibles agiles et sont principalement efficaces contre les petits vaisseaux tels que les frégates et les chasseurs.

Lance des rafales de petits missiles. Un simple système infrarouge assure un suivi efficace tandis que des micro-propulseurs chimiques offrent une manœuvrabilité exceptionnelle. Des algorithmes de ciblage évolutifs affinés au fil de siècles d'application réelle permettent aux missiles d'anticiper la cible — ils ratent rarement et sont très difficiles à éviter.",,,,,
swarmer_fighter,WEAPON,Un lanceur de missiles guidés à courte portée. Les missiles sont conçus pour intercepter et détruire les chasseurs ennemis.,,,,,
annihilator,WEAPON,"Tire une salve de roquettes non guidées couvrant un large arc. Typiquement utilisé pour arracher le blindage ennemi une fois les boucliers abattus.

Roquettes à moyenne et longue portée lancées depuis un petit pod qui tire cinq missiles par salve dans un étroit éventail pour améliorer les chances de toucher. Les roquettes sont petites et non guidées, l'espace supplémentaire étant occupé par une ogive plus grosse et des systèmes de propulsion améliorés, ainsi qu'un blindage plus épais.

Performant contre les cibles plus volumineuses en raison de la probabilité plus élevée de toucher avec plusieurs roquettes. Une attaque de roquettes est souvent utilisée comme écran avant une frappe de torpilles pour réduire l'efficacité des systèmes de défense de point. Nécessite plusieurs secondes de rechargement après une salve.",,,,,
annihilator_fighter,WEAPON,Tire une salve de roquettes non guidées. Typiquement utilisé pour arracher le blindage ennemi une fois les boucliers abattus.,,,,,
annihilatorpod,WEAPON,"Tire un flux continu de roquettes non guidées. Utile contre le blindage ennemi ou — grâce à l'absence de coût en flux — pour appliquer une pression soutenue.

Comporte les mêmes roquettes à moyenne et longue portée que les lanceurs plus petits. Les roquettes sont non guidées, l'espace supplémentaire étant occupé par une ogive plus grosse et des systèmes de propulsion améliorés, ainsi qu'un blindage plus épais.

Performant contre les cibles plus volumineuses en raison de la probabilité plus élevée de toucher avec plusieurs roquettes. Une attaque de roquettes est souvent utilisée comme écran avant une frappe de torpilles pour réduire l'efficacité des systèmes de défense de point.",,,,,
heatseeker,WEAPON,"Se dirige vers les moteurs de la cible et les désactive avec une puissante décharge EMP. Un système d'autochargeur de combat assure son utilité lors d'engagements prolongés.

Le missile Salamander est une arme spécialisée répondant à deux considérations de conception. La première est un mécanisme de suivi/ciblage extrêmement avancé qui lui permet de se diriger vers les moteurs ennemis, tout en évitant tous les autres points d'impact potentiels et les menaces de défense de point.

La seconde est une conception spéciale de l'ogive qui, au lieu de tenter de détruire la cible par force cinétique ou explosive, génère des champs électromagnétiques ciblés de grande magnitude. Lorsqu'un tel champ est créé à proximité de moteurs et composants de coque non protégés par un bouclier, il neutralise rapidement toute leur électronique, les rendant inutilisables jusqu'à réparation.",,,,,
salamanderpod,WEAPON,"Se dirige vers les moteurs de la cible et les désactive avec une puissante décharge EMP. Un système d'autochargeur de combat assure son utilité lors d'engagements prolongés.

Un pod monté en externe remplace les racks de missiles plus courants et permet de tirer deux missiles presque simultanément. Un autochargeur extrait, arme et amorce la prochaine salve de deux missiles après une courte attente.

Le missile Salamander est une arme spécialisée répondant à deux considérations de conception. La première est un mécanisme de suivi/ciblage extrêmement avancé qui lui permet de se diriger vers les moteurs ennemis, tout en évitant tous les autres points d'impact potentiels et les menaces de défense de point.

La seconde est une conception spéciale de l'ogive qui, au lieu de tenter de détruire la cible par force cinétique ou explosive, génère des champs électromagnétiques ciblés de grande magnitude. Lorsqu'un tel champ est créé à proximité de moteurs et composants de coque non protégés par un bouclier, il neutralise rapidement toute leur électronique, les rendant inutilisables jusqu'à réparation.",,,,,
harpoon,WEAPON,"Rack de missiles guidés à moyenne portée et forte charge utile. Dévastateur contre les vaisseaux aux boucliers abattus.

Missiles à moyenne portée montés sur un rack de trois. Un excellent système de propulsion délivre une grosse ogive sur la cible à des vitesses subluminiques. Sacrifiant la manœuvrabilité au profit de la vitesse et de la taille de l'ogive, le missile à moyenne portée est l'une des armes non embarquées les plus destructrices du Secteur. Un seul impact est presque fatal pour les vaisseaux de la taille d'une frégate.

Ce système d'arme dispose d'un rack de tir abritant plusieurs missiles.",,,,,
harpoonpod,WEAPON,"Pod de missiles guidés à moyenne portée et forte charge utile. Dévastateur contre les vaisseaux aux boucliers abattus.

Un pod monté en externe remplace les racks de missiles plus courants et permet de tirer plusieurs missiles presque simultanément. Un autochargeur extrait, arme et amorce la prochaine salve de missiles après une courte attente.

Ces missiles à moyenne portée sont identiques à ceux tirés depuis des racks simples ou triples, et constituent un excellent moyen d'achever un vaisseau aux boucliers abattus. Un excellent système de propulsion délivre une grosse ogive sur la cible à des vitesses subluminiques. Sacrifiant la manœuvrabilité au profit de la vitesse et de la taille de l'ogive, le missile à moyenne portée est l'une des armes non embarquées les plus destructrices du Secteur. Un seul impact est presque fatal pour les vaisseaux de la taille d'une frégate.
",,,,,
harpoon_single,WEAPON,"Missile guidé à moyenne portée et forte charge utile. Dévastateur contre les vaisseaux aux boucliers abattus.

Un excellent système de propulsion délivre une grosse ogive sur la cible à des vitesses subluminiques. Sacrifiant la manœuvrabilité au profit de la vitesse et de la taille de l'ogive, le missile à moyenne portée est l'une des armes non embarquées les plus destructrices du Secteur. Un seul impact est presque fatal pour les vaisseaux de la taille d'une frégate.

Cet affût ne peut lancer qu'un seul missile à la fois et dispose d'un unique missile de rechange dans un magasin de combat encastré dans la coque.",,,,,
sabot,WEAPON,"Tire une salve de pénétrateurs cinétiques à haute vélocité en 2e étage lorsqu'à portée. Dégâts importants aux boucliers et dégâts EMP massifs à l'impact sur la coque ou le blindage ennemi. Difficile à arrêter avec la PD.

Les missiles de classe Sabot sont des armes cinétiques à courte portée en deux étages. Un premier étage de missile guidé projette un assemblage secondaire à portée de frappe d'une cible protégée par un bouclier. L'ordinateur de ciblage embarqué allume alors le propergol d'un pénétrateur cinétique. Ce « sabot », comme on l'appelle communément, est typiquement un projectile étroit, stabilisé latéralement, fabriqué à partir d'un matériau ultra-dense tel que l'uranium appauvri.

Excellent pour abattre les boucliers ennemis et provoquer une surcharge. Le blindage standard des vaisseaux est espacé, de sorte que le sabot inflige des dégâts plus gérables si les boucliers sont abaissés à temps pour recevoir l'impact sur le blindage.

Ce système d'arme dispose d'un rack de tir abritant plusieurs missiles.",,,,,
sabotpod,WEAPON,"Tire une salve de pénétrateurs cinétiques à haute vélocité en 2e étage lorsqu'à portée. Dégâts importants aux boucliers et dégâts EMP massifs à l'impact sur la coque ou le blindage ennemi. Difficile à arrêter avec la PD.

Le pod remplace les racks de missiles plus courants et permet de tirer plusieurs missiles presque simultanément. Un autochargeur extrait, arme et amorce la prochaine salve de missiles après un court délai.

Les missiles de classe Sabot sont des armes cinétiques à courte portée en deux étages. Un premier étage de missile guidé projette un assemblage secondaire à portée de frappe d'une cible protégée par un bouclier. L'ordinateur de ciblage embarqué allume alors le propergol d'un pénétrateur cinétique. Ce « sabot », comme on l'appelle communément, est typiquement un projectile étroit, stabilisé latéralement, fabriqué à partir d'un matériau ultra-dense tel que l'uranium appauvri.

Excellent pour abattre les boucliers ennemis et provoquer une surcharge. Le blindage standard des vaisseaux est espacé, de sorte que le sabot inflige des dégâts plus gérables si les boucliers sont abaissés à temps pour recevoir l'impact sur le blindage.

Ce système d'arme dispose d'un rack de tir abritant plusieurs missiles.",,,,,
sabot_single,WEAPON,"Tire une salve de pénétrateurs cinétiques à haute vélocité en 2e étage lorsqu'à portée. Dégâts importants aux boucliers et dégâts EMP massifs à l'impact sur la coque ou le blindage ennemi. Difficile à arrêter avec la PD.

Les missiles de classe Sabot sont des armes cinétiques à courte portée en deux étages. Un premier étage de missile guidé projette un assemblage secondaire à portée de frappe d'une cible protégée par un bouclier. L'ordinateur de ciblage embarqué allume alors le propergol d'un pénétrateur cinétique. Ce « sabot », comme on l'appelle communément, est typiquement un projectile étroit, stabilisé latéralement, fabriqué à partir d'un matériau ultra-dense tel que l'uranium appauvri.

Excellent pour abattre les boucliers ennemis et provoquer une surcharge. Le blindage standard des vaisseaux est espacé, de sorte que le sabot inflige des dégâts plus gérables si les boucliers sont abaissés à temps pour recevoir l'impact sur le blindage.

Cet affût ne peut lancer qu'un seul missile à la fois et dispose d'un unique missile de rechange dans un magasin de combat encastré dans la coque.",,,,,
