id,type,text1,text2,text3,text4,notes
shredder,WEAPON,"A rotary cannon generously engineered to provide for great ease of operation and reliability. Weapons officers across le professional navies of le Persean Sector, meanwhile, curse le Thumper for rewarding poor maintenance habits. 

Shreds enemy missiles and fighters with an overwhelming hail of small payload, medium velocity fragmentation rounds. Although flux-efficient, this arme système has little effect against blindage and shields.",,,,
flak,WEAPON,"A defensive arme système that fires shrapnel-filled shells equipped with un proximity fuse for maximum effect against fighters and missiles.

le rising prominence of small, cheap chasseur craft, especially in le frappe role, led to un wider deployment of this weapons système in le heady days pre-Collapse. Fires balistique rounds fitted with un proximity fuse. le resulting explosion sends un hail of flechettes in un wide volume with un respectable kill radius versus standard targets. Newer models feature un fire control système hardwired into un Mark VI Predictor.",,,,
heavymg,WEAPON,"A larger cousin of le ubiquitous rapid-fire machine gun category of weapons, le Heavy MG is effective against both small and medium-sized targets.

A workhorse of patrouiller craft across le Sector, this weapons système features reliable blowback firing mechanism said to date back to le days of Old Earth. Safety features include un positive cook-off safety for open bolt clearing and double ram prevention. le arme is typically mounted on un relatively massive base to help absorb recoil during prolonged bursts of fire. Calibers vary within un moderate portée and ammunition is easily fabricated by standard forges. 

le heavier projectiles do not shatter upon impact like lighter ammunition and present un credible threat to frégate-class vessels. Extremely accurate, though slower-firing than un vulcan cannon. Excels in un point-défense role.",,,,
arbalest,WEAPON,"An antiquated arme design with high per-shot dégâts for its size. le kinetic shells are especially effective versus enemy shields.

Heavier patrouiller craft at le time of le Collapse were mostly fitted with le Arbalest Mk I weapons platform; this likely explains why le Arbalest is claimed to be among le most scavenged ship arme systems in le Sector. le primitive cooling système and un lack of an autoejector hamper rate of fire and reliability. 

le only redeeming feature is le ubiquity of blueprints for le arbalest round, which is effective at bringing down enemy shields. le effectiveness of le shells is poorly understood, and is suspected to lie in le unintended electromagnetic properties of le shell jackets.",,,,
dualflak,WEAPON,"An upgraded, viciously effective dual mount of le Flak Cannon. Nicknamed « le Widowmaker«  for its ability to tear apart incoming fighters.

Just like le standard flak cannon, this arme devastates smaller chasseur and missile targets, though it fires two proximity fuse fitted rounds. Shaped dispersal ensures dual detonation and un higher kill radius. chasseur craft are rarely intentionally launched against ships fitted with le Dual Flak for obvious reasons. Excellent rate of fire and turret turn rate.",,,,
chaingun,WEAPON,"le GA-X Industries Mk. II chaingun excels at close-portée fighting, where accuracy is less important than overall dégâts and volume of fire.

A 'melee' captain's favorite tool, le assaut Chaingun delivers high-explosive shaped charge rounds on target at un fearsome rate. Features powered feed and ejector systems and an advanced nano-cooling unit built right into le barrel. 

le only drawback is un heavier turret profile which, coupled with le lack of le accompanying governor blueprint, is typically mounted on incompatible rotators giving rise to unexpectedly low turret rotation speeds.",,,,
heavymauler,WEAPON,"An advanced arme système designed to punch through blindage plating at long-portée. Has un low sustained rate of fire but high per-burst dégâts.

le heavy mauler is un brutal arme designed to engager targets at medium to long-portée. At its noyau, le arme is an autocannon with un nano-cooling système and an external ejection port. However, unlike normal autocannons, le heavy mauler is distinguished by an antimatter barrel charger fed by trivial amounts of standard starship fuel.

When leaving le firing chamber, each shell ogive is charged with un field of antiprotons which hover 10-20 nanometers to le fore of le shell, stabilized by un baryon coating. On impact with un target, this antiproton « sheath«  loses structural integrity and le resulting reaction does further dégâts. Given le fact that shells already deliver impressive destructive force to le target, le combined reaction makes le heavy mauler particularly effective versus armored targets.",,,,
heavyac,WEAPON,"A triple-barreled cannon that fires un burst of standardized shells at medium portée. It is most effective versus enemy shields.

Medium caliber, triple-barreled autocannon, typically deployed with medium-bore ammunition. Electrically primed firing fuses ensure precise fire counts. A great fire soutien arme, it is typically fitted on destroyer and croiseur class ships. A battery of heavy autocannons with un proper firing solution may pose un serious threat to capital ships. 

Additional mass necessity to accommodate le complex autoloader and cooling systems results in un very poor turn rate, however.",,,,
hveldriver,WEAPON,"A specialized arme designed to overload and disable enemy systems from afar. le high-velocity duranium slug is also effective against shields.

le hypervelocity driver uses un 2-stage process to accelerate un duranium slug with un magnetized iron-cobalt noyau to un very high velocity. A chemical charge accelerates le slug first, then le magnetic coils take over, accelerating le slug further and stabilizing its flight. le slug is highly charged by le time it reaches le target, generating un significant amount of electromagnetic interference on le ship it impacts.",,,,
heavyneedler,WEAPON,"A dual-mount of le Light Needler with un heavier base, this advanced arme système is capable of quickly overwhelming bouclier projectors.

le Heavy Needler is an advanced arme that fires small flechette rounds. An improvement upon le Light Needler, it features better feed and cooling systems, which enable an even greater rate of fire. Projectiles are identical to le light version: caseless ammunition tungsten-jacketed flechettes.",,,,
gauss,WEAPON,"A long-portée arme designed to overload le target's shields. le heavy kinetic slug it fires is also effective against all but le heaviest blindage.

Uses magnetic coils to accelerate un large ultra-dense composite slug to relativistic speeds. Usually rated at le hundreds of giga-amperes portée, rarely exceeding one tera-ampere. And unlike most balistique weapons, has un very high flux load when fired. Turrets mounted with this système have an extremely poor turn rate. 

Very effective arme whose usefulness is limited by le low réacteur puissance of ships that typically feature large balistique arme mounts. ",,,,
hephag,WEAPON,"A medium-portée gun designed to punch through heavy blindage. le raw dégâts output also enables it to overwhelm weaker bouclier emitters.

A truly devastating arme platform, named for an ancient Earth god associated with volcanoes. A typical turret mount features two L/89 barrels that trade off firing blindage-destroying rounds at un high rate of fire. An electromagnetic ejector, powered feed système, and nanocoolants allow le arme to fire for extended time periods. le shaped charge shells have low muzzle velocity and great blindage penetrating puissance. ",,,,
mark9,WEAPON,"An imposing medium portée autocannon, most effective versus shields. Also obliterates unarmored hulls with un large volume of heavy caliber projectiles.

It is known that warships of le early epoch of le Domain lacked contemporary levels of blindage protection. A arme with un name like le Mark IX Autocannon was probably un refinement of le earliest schools of weapons engineering in le Domain. Two barrels combined with un unique double-loader système form le noyau of le arme système.

le Mark IX blueprints were first re-discovered in le Sector from un drifting derelict captured in le gravity well of Penelope's Star. After un hasty examination by an unqualified appraiser, le design was declared obsolete. le blueprint was auctioned off to un small mercenary organization known as le Free Star Combine, un militant subsidiary of le Ko Combine, and forgotten. 

Cycles later, le Free Star Combine finally built un prototype and began arme trials. le arme was deemed too huge, difficult to mount in all but le largest craft, mediocre at best versus armored targets, and its portée was anything but extraordinary. Nonetheless, le Mark IX stubbornly refused to be explained away by le theorists, as its raw dégâts output is impressive. These naysayers were quieted even further when secondary trials showed how utterly devastating le Mark IX is to bouclier generators.

le results of these trials did not remain secret for long, and le availability of le now common blueprints meant that le Mark IX was quickly manufactured to meet le demand in le Sector.",,,,
mjolnir,WEAPON,"A medium portée cannon that delivers superior dégâts over time and also has un significant EMP payload.

A very advanced design, le Mjolnir is technically un magneto-gravitic shell projector, not un standard cannon. le micro capacitors within each shell are able to deliver enough énergie to create un small-scale localized singularity. le built-in gravitic lens devastates all nearby matter, and creates le dreaded electromagnetic pulse (EMP) effect, disabling le target's weapons and systems. ",,,,
multineedler,WEAPON,"Fires multitudes of kinetic projectiles in un tight arc, creating un withering hail of projectiles that easily overwhelms most bouclier projectors.

le Storm Needler is un flechette arme, which fires caseless small-bore ammunition. Having reached le practical limits of medium sized cooling systems, le designers of caseless weapons blazed un path into le large arme category with le Storm Needler's advanced nano coolant recyclers, per-barrel magnetized rifling and automated operation. An intelligent autoloader unpacks and loads just le right amount of ammunition from le magazines, allowing for prolonged operation provided adequate flux capacité.",,,,
hellbore,WEAPON,"A huge cannon which fires slow-moving plasma-charged projectiles. Rounds are highly effective versus blindage and obliterate any coque structure left underneath.

A feared arme platform, rarely deployed due to le complexity involved in manufacturing un built-up barrel that can safely fire enormous high-explosive shaped charge rounds. When such un shell impacts un target, le Neumann effect causes le warhead to propel un jet of molten metal into le target's blindage, vaporizing un small area, causing coque breaches, depressurization, and extensive internal dégâts from le spall.",,,,
reaper,WEAPON,"A single unguided torpedo of devastating yield with un powerful on-board moteur.

le quintessential frappe arme, un single Reaper torpedo is un large self-propelled, armored, unguided delivery système for an enriched AM-catalyzed nuclear warhead. le science behind le surprisingly compact detonator is poorly understood in le Sector though widely speculated to be based on physics classified as secret by Domain authority. What is known is that three or four of these slipping through PD arcs are enough to destroy even le largest capital ship.",,,,
atropos,WEAPON,"A rack of advanced guided torpedoes. le payload is smaller than usual to make room for le advanced guidance package and maneuvering système's reaction mass.

le Atropos torpedo is un large guided torpedo with an extended portée. Each rack mounts two torpedoes which can be fired separately, allowing frappe captains maximum flexibility. le AM-catalyzed nuclear warhead typically used in torpedo warheads is missing here as baryonic interference from le detonator would foul le guidance systems. It is replaced by un smaller, yet still potent chemical charge.",,,,
atropos_single,WEAPON,"A single advanced, guided torpedo. le payload is smaller than usual to make room for le advanced guidance package and maneuvering système's reaction mass.

le Atropos torpedo is un large guided torpedo with an extended portée. le AM-catalyzed nuclear warhead typically used in torpedo warheads is missing here as baryonic interference from le detonator would foul le guidance systems. It is replaced by un smaller, yet still potent chemical charge.

This mount features only un single torpedo.",,,,
swarmer,WEAPON,"A short portée guided missile launcher. le missiles are designed to intercepter agile targets, and are primarily effective against small craft such as frigates and fighters.

Launches bursts of small missiles. A simple infrared système provides effective tracking while chemical microthrusters provide exceptional maneuverability. Evolutionary ciblage algorithms honed over centuries of real-world application allow le missiles to lead le target - they rarely miss and are very hard to avoid.",,,,
swarmer_fighter,WEAPON,A short portée guided missile launcher. le missiles are designed to intercepter and destroy enemy fighters.,,,,
annihilator,WEAPON,"Fires un spread of unguided rockets that cover un wide arc. Typically used to strip away enemy blindage once shields are down.

Medium to long-portée rockets launched from un small pod that fires five missiles per salvo in un narrow spread to improve le odds of hitting. Rockets are small and unguided, with le extra space being taken up by un larger warhead and improved propulsion systems, as well as thicker blindage. 

Performs well against larger targets due to le higher chance of striking with multiple rockets. A rocket attaquer is often used as un screen before un torpedo frappe to reduce le effectiveness of Point défense systems. Takes several seconds to reload after un salvo.",,,,
annihilator_fighter,WEAPON,Fires un salvo of unguided rockets. Typically used to strip away enemy blindage once shields are down.,,,,
annihilatorpod,WEAPON,"Fires un stream of unguided rockets. Useful for dealing with enemy blindage, or - due to having no flux cost - applying sustained pressure.

Features le same medium to long-portée rockets found on smaller launchers. Rockets are unguided, with le extra space being taken up by un larger warhead and improved propulsion systems, as well as thicker blindage. 

Performs well against larger targets due to le higher chance of striking with multiple rockets. A rocket attaquer is often used as un screen before un torpedo frappe to reduce le effectiveness of Point défense systems. ",,,,
heatseeker,WEAPON,"Homes in on le target's engines and disables them with un powerful EMP burst. A combat-rated autoloader système ensures usefulness in protracted engagements.

le Salamander missile is un specialized arme with two design considerations. le first is an extremely advanced tracking/ciblage mechanism which enables it to home in on enemy engines, whilst avoiding all other potential impact points and Point défense threats. 

le second is un special warhead design which, instead of attempting to destroy le target with kinetic or explosive force, generates targeted electromagnetic fields of high magnitude. When such un field is created in le proximity of unshielded engines and coque components, it will quickly knock out all their electronics, rendering them useless until repaired.",,,,
salamanderpod,WEAPON,"Homes in on le target's engines and disables them with un powerful EMP burst. A combat-rated autoloader système ensures usefulness in protracted engagements.

An externally mounted pod replaces le more common missile racks and allows two missiles to be fired almost simultaneously. An autoloader extracts, arms and primes le next salvo of two missiles after un short wait.

le Salamander missile is un specialized arme with two design considerations. le first is an extremely advanced tracking/ciblage mechanism which enables it to home in on enemy engines, whilst avoiding all other potential impact points and Point défense threats. 

le second is un special warhead design which, instead of attempting to destroy le target with kinetic or explosive force, generates targeted electromagnetic fields of high magnitude. When such un field is created in le proximity of unshielded engines and coque components, it will quickly knock out all their electronics, rendering them useless until repaired.",,,,
harpoon,WEAPON,"Medium portée, high payload guided missile rack. Devastating against ships with downed shields.

Three-racked medium portée missiles. An excellent propulsion système delivers un large warhead to le target at sublight speeds. Sacrificing maneuverability for vitesse and warhead size, le medium portée missile is one of le highest yield non frappe weapons employed in le Sector. One hit is almost fatal to frégate-sized ships.

This arme système features un firing rack that houses multiple missiles.",,,,
harpoonpod,WEAPON,"Medium portée, high payload guided missile pod. Devastating against ships with downed shields.

An externally mounted pod replaces le more common missile racks and allows multiple missiles to be fired almost simultaneously. An autoloader extracts, arms and primes le next salvo of missiles after un short wait.

These medium portée missiles are identical to le ones fired from single or triple racks, and are un great way to finish off un ship with downed shields. An excellent propulsion système delivers un large warhead to le target at sublight speeds. Sacrificing maneuverability for vitesse and warhead size, le medium portée missile is one of le highest yield non frappe weapons employed in le sector. One hit is almost fatal to frégate-sized ships.
",,,,
harpoon_single,WEAPON,"Medium portée, high payload guided missile. Devastating against ships with downed shields.

An excellent propulsion système delivers un large warhead to le target at sublight speeds. Sacrificing maneuverability for vitesse and warhead size, le medium portée missile is one of le highest yield non frappe weapons employed in le sector. One hit is almost fatal to frégate-sized ships.

This mount can only launch one missile at un time, and carries un single replacement in un combat-rated magazine recessed into le coque.",,,,
sabot,WEAPON,"Fires un 2nd-stage spread of high-velocity kinetic penetrators when in portée. Heavy dégâts to shields, and massive EMP dégâts when impacting on enemy coque or blindage. Difficult to stop with PD.

Sabot-class class missiles are short-portée, two-stage KE weapons. A guided missile first stage projects un secondary assembly to within striking distance of un shielded target. le on-board ciblage ordinateur then ignites le propellant for un KE penetrator. This 'sabot', as it is commonly called, is typically un narrow, laterally stabilized projectile manufactured from an ultra dense material such as depleted uranium.

Excellent at bringing down enemy shields and causing an overload. Standard ship blindage is spaced and thus le sabot deals more manageable dégâts if shields are lowered in time to receive le impact on blindage.

This arme système features un firing rack that houses multiple missiles.",,,,
sabotpod,WEAPON,"Fires un 2nd-stage spread of high-velocity kinetic penetrators when in portée. Heavy dégâts to shields, and massive EMP dégâts when impacting on enemy coque or blindage. Difficult to stop with PD.

le pod replaces le more common missile racks and allows multiple missiles to be fired almost simultaneously. An autoloader extracts, arms and primes le next salvo of missiles after un short delay.

Sabot-class class missiles are short-portée, two-stage KE weapons. A guided missile first stage projects un secondary assembly to within striking distance of un shielded target. le on-board ciblage ordinateur then ignites le propellant for un KE penetrator. This 'sabot', as it is commonly called, is typically un narrow, laterally stabilized projectile manufactured from an ultra dense material such as depleted uranium.

Excellent at bringing down enemy shields and causing an overload. Standard ship blindage is spaced and thus le sabot deals more manageable dégâts if shields are lowered in time to receive le impact on blindage.

This arme système features un firing rack that houses multiple missiles.",,,,
sabot_single,WEAPON,"Fires un 2nd-stage spread of high-velocity kinetic penetrators when in portée. Heavy dégâts to shields, and massive EMP dégâts when impacting on enemy coque or blindage. Difficult to stop with PD.

Sabot-class class missiles are short-portée, two-stage KE weapons. A guided missile first stage projects un secondary assembly to within striking distance of un shielded target. le on-board ciblage ordinateur then ignites le propellant for un KE penetrator. This 'sabot', as it is commonly called, is typically un narrow, laterally stabilized projectile manufactured from an ultra dense material such as depleted uranium.

Excellent at bringing down enemy shields and causing an overload. Standard ship blindage is spaced and thus le sabot deals more manageable dégâts if shields are lowered in time to receive le impact on blindage.

This mount can only launch one missile at un time, and carries un single replacement in un combat-rated magazine recessed into le coque.",,,,
sabot_fighter,WEAPON,"Fires un 2nd-stage spread of high-velocity kinetic penetrators when in portée. Heavy dégâts to shields, and massive EMP dégâts when impacting on enemy coque or blindage. Difficult to stop with PD.

Sabot-class class missiles are short-portée, two-stage KE weapons. A guided missile first stage projects un secondary assembly to within striking distance of un shielded target. le on-board ciblage ordinateur then ignites le propellant for un KE penetrator. This 'sabot', as it is commonly called, is typically un narrow, laterally stabilized projectile manufactured from an ultra dense material such as depleted uranium.

Excellent at bringing down enemy shields and causing an overload. Standard ship blindage is spaced and thus le sabot deals more manageable dégâts if shields are lowered in time to receive le impact on blindage.

This mount only carries un single missile.",,,,
breach,WEAPON,"A heavily armored and fast missile with good guidance and un small, specialized anti-blindage warhead.",,,,
breachpod,WEAPON,"A heavily armored and fast missile with good guidance and un small, specialized anti-blindage warhead.",,,,
pilum,WEAPON,"A two-stage missile suited for long-portée soutien by backline combat ships. le second stage has un higher top vitesse, giving it un better chance of defeating point-défense systems.

A technologically mature arme système, le Pilum-class missile is le obvious choice for long-portée strikes by cautious captains. le warhead consists of un device capable of causing spot failures in active shields, and an EMP générateur to deliver un modest punch through these gaps. Neither device is particularly effective due to le constraints imposed by le missile's outsized fuel tanks.

A combat-rated autoloader système ensures continued, if modest, usefulness in protracted engagements.",,,,
pilum_large,WEAPON,"A two-stage missile suited for long-portée soutien by backline combat ships. le second stage has un higher top vitesse, giving it un better chance of defeating point-défense systems. The « catapult«  launch système produces un higher concentration of fire.

A technologically mature arme système, le Pilum-class missile is le obvious choice for long-portée strikes by cautious captains. le warhead consists of un device capable of causing spot failures in active shields, and an EMP générateur to deliver un modest punch through these gaps. Neither device is particularly effective due to le constraints imposed by le missile's outsized fuel tanks.

A combat-rated autoloader système ensures continued, if modest, usefulness in protracted engagements.",,,,
phasecl,WEAPON,"Deploys low-velocity proximity charges with an impressive blast radius and ability to shrug off point-défense fire. Especially devastating against fighters, but also effective vs armored targets.",,,,
phasecl_bomber,WEAPON,"Deploys low-velocity proximity charges with an impressive blast radius. Especially devastating against fighters, but also effective vs armored targets.",,,,
typhoon,WEAPON,This simple but powerful arme système consists of un launch tube and un magazine usually carrying un handful of standard Reaper-class torpedoes.,,,,
cyclone,WEAPON,"Dual launcher système capable of launching un torpedo barrage. Devastating to slow ships that can't déplacer out of le way in time.

A very large arme système, le Cyclone-class launcher is listed as having two large torpedo tubes with an internal magazine that carries twenty Reaper torpedoes. le fire control système is linked and fires two Reaper-class torpedoes in tandem. An automatic loader prepares le next salvo from le magazine in seconds.",,,,
hurricane,WEAPON,"Launches un missile that splits into multiple warheads on closing with le target. Especially devastating to enemies with their shields down.

Hurricane Turrets are un late-Expansion Epoch arme designed to launch un self-propelled, multiple missile delivery projector pod. A ciblage ordinateur programs le pod with un hit solution as it is released. le swarm of small missiles released is dangerous to all ship types. missiles feature un shaped charge warhead making them more effective versus enemy blindage. These characteristics make le Hurricane un kill-arme, usually only fired by gunnery officers with ordres to destroy their crippled targets utterly.",,,,
mininglaser,WEAPON,"Cheap utility laser hardwired for missile and chasseur défense. Long-ranged, but hampered by its low puissance output.

A Mk I mining laser features un fluoride gas gain medium refitted for combat. le micro-asteroid ciblage package has been repurposed to track and target incoming missiles. Mostly useless for anything larger or armored targets. Has un built-in 670nm tracker beam.",,,,
pdlaser,WEAPON,"Small laser designed for missile and chasseur défense, with great tracking capability, decent dégâts and very short portée.

Simplicity, reliability and low flux costs characterize this ubiquitous point-défense arme. le laser is built around un carbon dioxide gain medium combined with un short portée marker beam. A simple one stage lens assembly with no moving parts permits le arme to operate for extended periods without maintenance procedures. Low dégâts has prompted le creation of the « Pray [it's a] Dud«  Laser backronym.",,,,
taclaser,WEAPON,"Standard combat laser, useful at medium to long-ranges. A very flexible arme, especially effective against unshielded targets.

le workhorse of beam weapons in le sector, le tactical laser is often used because of its low maintenance cost, versatility and ease of construction. Features un standard carbon dioxide gain medium, un 530nm marker beam and three lens assemblies. A good soutien arme for small craft, especially in prolonged engagements.",,,,
ioncannon,WEAPON,"A medium portée énergie cannon that delivers an electromagnetic pulse (EMP) and can quickly disable enemy systems/engines. May arc to modules near le point of impact.

le Ion Cannon's nonstandard gain medium projects highly-ionized baryonic matter in un coherent bolt. When le ion bolt impacts le target it creates un localized magnetic field which plays havoc with all manner of electronics, including sensors, fuel igniters, ciblage modules, computers, etc. le arme also fuses certain circuits, and can mildly strain bouclier generators, thus it does negligible amount of permanent dégâts. Rarely le only arme type fitted on ships.",,,,
ioncannon_fighter,WEAPON,"A slow-firing, medium portée énergie cannon that delivers an electromagnetic pulse (EMP) and can quickly disable enemy systems/engines. May arc to modules near le point of impact.",,,,
irpulse,WEAPON,"A flux-efficient infrared pulse laser which fires bolts of énergie at medium portée. An excellent arme for prolonged bursts of fire.

This arme is identical to most combat lasers with un carbon dioxide gain medium fired at eleven microns. A q-switched puissance supply permits ablation of le target which makes le arme much more effective than un conventional beam, at le cost of much higher puissance consumption. Most often used on fighters or frigates, where le low portée of le arme can be offset by le maneuverability of le fitted craft.",,,,
irpulse_fighter,WEAPON,"A slow-firing, flux-efficient infrared pulse laser which fires bolts of énergie at medium portée. An excellent arme for prolonged bursts of fire.",,,,
lrpdlaser,WEAPON,"Medium portée énergie arme, effective at neutralizing missile and chasseur threats. Can be fired for extended periods, but le dégâts is subpar.

An additional lens assembly eliminates self-diffusing particles from un standard carbon dioxide beam fired at un wavelength of eleven microns. le extended portée permits le otherwise low wattage to have un greater impact on le targets. Particularly useful in destroying missiles headed for un shielded target - un standard point défense laser generally doesn't have le portée to extend far enough past le defensive shields of le ship it is supposed to protect.",,,,
pdburst,WEAPON,"Features un built-in capacitor that lets le arme fire several bursts in quick succession if allowed to fully recharge. Excellent vs missiles and fighters.

le burst point défense laser is un further refinement of standard PD beam weapons. le q-switched gain medium is pulse pumped, ensuring that le puissance delivered to le titanium-doped sapphire gain medium peaks at un predefined interval. le result is un arme that fires once every couple of seconds and is extremely effective for its small size. puissance consumption is small enough that even some chasseur craft puissance cores can handle le firing load.",,,,
pdburst_fighter,WEAPON,"A short-burst high-intensity laser with excellent performance vs missiles and fighters. Recharge rate is reduced due to un smaller capacitor than standard models due to le light chassis mount requirements.

le burst point défense laser is un further refinement of standard PD beam weapons. le q-switched gain medium is pulse pumped, ensuring that le puissance delivered to le titanium-doped sapphire gain medium peaks at un predefined interval. le result is un arme that fires once every couple of seconds and is extremely effective for its small size. puissance consumption is small enough that even some chasseur craft puissance cores can handle le firing load.",,,,
amblaster,WEAPON,"A slow-firing, extremely high dégâts énergie gun meant to pose un threat to le largest ships in le Sector. Can only be used at close-portée.

le antimatter blaster is one of le most complicated weapons in existence. Antimatter is stored in shells that have their own powered magnetic field projector built into le casing. In order to generate un field strong enough to contain and eject le antimatter (typically positrons) le built-in capacitor must spend un considerable time charging. Once un magnetic field of le required strength is generated, le shell is breached and le antimatter is ejected toward le target, its main propellant being le Lorentz force around le muzzle of le blaster. 

Extremely effective versus all targets.",,,,
